epoch,train_loss,train_class_loss,train_reg_loss,train_consistency_loss,train_auxiliary_loss,selection_J,best_epoch,clean_accuracy,clean_macro_f1,clean_mae,clean_pearson,masked_accuracy,masked_macro_f1,masked_mae,masked_pearson,elapsed_seconds
1,2.8421239776709646,2.0340770967227897,0.8080468742064418,0.0,0.0,0.782772853532471,1,0.5796703296703297,0.4552136319778171,0.6730150580406189,0.5618549024355782,0.5666717541717543,0.4414310633313147,0.6862598834214387,0.5305736163476079,4.311966399996891
2,2.406122505120571,1.7377159363040167,0.6684065892524326,0.0,0.0,0.6720511614320925,2,0.5975274725274725,0.5519789329454329,0.6403577327728271,0.5994670657016247,0.5861060236060236,0.5437582973825259,0.6580058932304382,0.5620552392995909,7.727760099995066
3,2.210811603473107,1.621575297417451,0.5892362970140089,0.0,0.0,0.6628115556293755,3,0.6181318681318682,0.5628626192801087,0.6344261765480042,0.6149785882659304,0.5992063492063493,0.5498519460864968,0.6521892878744338,0.5729919553694176,11.154803999997966
4,2.077386696770546,1.5428526651350143,0.5345340322236776,0.0,0.0,0.6251959902405827,4,0.6153846153846154,0.5997814352053971,0.6270020604133606,0.6227272780015293,0.6014702889702891,0.5858467327311808,0.6491049075568164,0.5795683474073827,14.512256099995284
5,1.964879042480761,1.468698680418405,0.4961803688567587,0.0,0.0,0.6381042522220586,4,0.6085164835164835,0.5964361464382618,0.6540119051933289,0.6204163796898621,0.5910917785917785,0.5787473154963956,0.6670911334179066,0.5828884332965316,17.917731699999422
6,1.9052501300999973,1.4213184283478446,0.4839317017192342,0.0,0.0,0.6525440722398106,4,0.6208791208791209,0.5738883066847612,0.6334714889526367,0.6409920380984085,0.6053622303622304,0.5578698597315308,0.6465170118543837,0.6020021112959507,21.26257639999676
7,1.7751758887244604,1.3366170329794793,0.43855885285692114,0.0,0.0,0.6208997035949053,7,0.6236263736263736,0.6077166788064385,0.6174666285514832,0.6327657443292478,0.6027930402930404,0.5839497521778061,0.6373425402023174,0.5912681867756812,24.6187895999974
8,1.6905823570639114,1.279201455425268,0.41138090725675425,0.0,0.0,0.6228497537555995,7,0.6236263736263736,0.6090460393089531,0.6127356290817261,0.621278075668111,0.5962555962555962,0.5800648103072922,0.6363942755593194,0.5780830400726824,28.022919199996977
9,1.6189640250929325,1.2243393862545928,0.3946246393738158,0.0,0.0,0.6290582778672399,7,0.6277472527472527,0.6109734765063014,0.6236953139305115,0.6171545155979415,0.5932794057794057,0.5741946841586762,0.6418922024744528,0.578291431805097,31.361516599994502
10,1.5075715598898538,1.1445697923472071,0.3630017633290635,0.0,0.0,0.6645291594685332,7,0.6112637362637363,0.5719786973556293,0.6518808007240295,0.5996185114815298,0.5930759055759056,0.550781934148708,0.6651475374345426,0.5618850102535542,34.72883759999968
11,1.427242775272375,1.0807266314531812,0.34651613621499294,0.0,0.0,0.6460547749799677,7,0.614010989010989,0.5870178799489144,0.630485475063324,0.5977384827547897,0.5923890923890924,0.5616832456043848,0.6461248916608316,0.5615923189997549,38.13793909999367
12,1.2726667971604,0.957590228433286,0.3150765678843974,0.0,0.0,0.6480159934612424,7,0.6085164835164835,0.5848153276550313,0.6381809115409851,0.5990474744944395,0.5902269027269027,0.5628479147588359,0.6526960752628468,0.5653286646680457,41.48431109999365
13,1.1858318850288334,0.8730485645458871,0.31278333059554597,0.0,0.0,0.6597121661187394,7,0.6002747252747253,0.5829395504975129,0.6534280180931091,0.5777754737133718,0.577024827024827,0.5534292494081536,0.6642666238325613,0.5485463918300904,44.86487689999922
14,1.0533179422541465,0.7690170785288748,0.2843008676777005,0.0,0.0,0.6677388915687238,7,0.5989010989010989,0.5722103610386989,0.6605480909347534,0.5921432899002623,0.5801282051282051,0.5496880840870535,0.6720474825965034,0.5591850395658949,48.266302899995935
15,0.9984033055614477,0.7104306560201743,0.2879726484176512,0.0,0.0,0.6614984127557433,7,0.5975274725274725,0.5705723105350117,0.6469963192939758,0.5772697125898443,0.5820868945868947,0.5528550952207438,0.6594658074555574,0.5472094722057181,51.6578434999974
