epoch,fallback_clean,effective_rows,two_block_rows,group_T,group_A,group_V,group_TA,group_TV,group_AV,text_newly_lost,text_newly_lost_ratio,audio_newly_lost,audio_newly_lost_ratio,vision_newly_lost,vision_newly_lost_ratio
1,0,3395,1637,562,571,560,566,555,581,14640,0.19042168517988606,14771,0.1922881653800591,13856,0.1907672820894084
2,0,3395,1685,533,592,530,549,577,614,14266,0.18555708748471683,15026,0.19560774307770415,14107,0.19422301157875896
3,0,3395,1686,567,569,561,566,540,592,14229,0.18507583049348353,14785,0.1924704167046357,13501,0.18587969655666156
4,0,3395,1664,544,578,533,581,554,605,14541,0.1891339975546942,15135,0.19702669981905047,13910,0.19151074580424876
5,0,3395,1698,507,558,558,601,605,566,14482,0.1883665877578627,14967,0.19483968392413137,14408,0.19836713339666542
6,0,3395,1675,618,544,564,554,571,544,15146,0.1970031997086444,13917,0.18117083458088704,13810,0.190133961147137
7,0,3395,1729,593,564,515,567,578,578,14896,0.19375146328139226,14463,0.1882786362393741,13757,0.18940426527886772
8,0,3395,1717,571,582,531,565,560,586,14257,0.18544002497333575,15028,0.1956337789812151,13539,0.18640287472636405
9,0,3395,1710,572,571,551,576,574,551,14676,0.19088993522541037,14606,0.19014020334040643,13629,0.18764198091776466
10,0,3395,1709,575,579,535,543,579,584,14619,0.19014853931999687,14700,0.19136389080542068,14114,0.1943193865047568
11,0,3395,1661,585,570,523,546,594,577,14544,0.18917301839182124,14649,0.19069997526589166,13994,0.19266724491622264
12,0,3395,1674,538,620,540,575,560,562,13899,0.18078353840951067,14798,0.19263965007745681,13476,0.18553550039238362
13,0,3395,1666,567,591,501,588,535,613,14734,0.19164433807653286,15509,0.20189541377559655,13693,0.1885231230983162
14,0,3395,1686,570,543,531,593,592,566,14924,0.1941156577612445,14605,0.19012718538865095,13656,0.18801371277518483
15,0,3395,1679,569,570,570,562,589,535,14690,0.1910720324653365,14340,0.18667742817345118,14102,0.19415417234590338
16,0,3395,1680,564,570,534,601,537,589,14249,0.1853359694076637,15229,0.19825038728406472,13342,0.18369060895185385
17,0,3395,1700,566,581,532,595,574,547,14843,0.1930620951588148,14818,0.19290000911256622,13824,0.19032671099913262
18,0,3395,1682,504,596,523,594,578,600,14043,0.1826565385916079,14933,0.19439707356444538,13644,0.18784849861633143
19,0,3395,1653,553,539,530,588,597,588,14476,0.18828854608360865,14133,0.18398271216006873,13639,0.18777965938347582
20,0,3395,1616,609,607,507,554,581,537,14771,0.1921255950677662,14275,0.18583126130934557,12892,0.17749507799485081
21,0,3395,1672,550,607,536,564,552,586,13878,0.1805103925496215,14909,0.19408464272231407,13474,0.18550796469924138
22,0,3395,1694,567,550,579,584,560,555,14400,0.187300018209724,14730,0.1917544293580848,13935,0.1918549419685267
23,0,3395,1674,577,576,487,616,585,554,15312,0.19916235269633983,14722,0.19165028574404103,13438,0.18501232222268116
24,0,3395,1644,536,569,563,581,575,571,14503,0.18863973361775188,14853,0.19335563742400771,13918,0.1916208885768177
25,0,3395,1660,597,564,550,573,576,535,14748,0.191826435316459,14449,0.1880963849147975,13630,0.18765574876433577
26,0,3395,1692,560,543,600,541,548,603,13973,0.1817460523919773,14437,0.18794016949373185,14268,0.19643963487670893
27,0,3395,1666,560,560,532,572,607,564,14856,0.19323118545303192,14529,0.18913782105523516,14024,0.1930802803133562
28,0,3395,1694,522,633,499,548,609,584,14395,0.18723498348117895,14745,0.19194969863441685,13968,0.19230928090537358
29,0,3395,1639,585,638,522,583,523,544,14497,0.18856169194349784,14862,0.19347279898980693,12785,0.17602191841174122
30,0,3395,1663,567,533,550,593,599,553,14816,0.19271090762467158,14541,0.18929403647630083,13580,0.18696735643577989
