epoch,train_loss,train_class_loss,train_reg_loss,selection_J,best_epoch,clean_accuracy,clean_macro_f1,clean_mae,clean_pearson,masked_accuracy,masked_macro_f1,masked_mae,masked_pearson,elapsed_seconds
1,2.7163935633225362,1.945419891101798,0.7709736822279984,0.7622676527928716,1,0.5934065934065934,0.4581633753592535,0.6194189190864563,0.6118756235554023,0.5815781440781442,0.4458874598893726,0.6384233931700388,0.5789619408466863,2.2985635999993974
2,2.3320540568614394,1.6904562486640133,0.6415978065646625,0.658036210519871,2,0.6016483516483516,0.5878593589971836,0.6827719211578369,0.6031621937710817,0.5834096459096458,0.5662815272337063,0.6912581423918406,0.576337828902786,4.1046850999991875
3,2.2499601931564936,1.623594233213714,0.6263659660173622,0.6205995074224177,3,0.635989010989011,0.6034836903318407,0.5925167202949524,0.6417505847868911,0.6115689865689865,0.5760177009519124,0.6164292494455973,0.6016392956965345,5.854867699999886
4,2.1340175103368746,1.5621908403461215,0.5718266688144611,0.6131302507910067,4,0.6387362637362637,0.6113105848399966,0.5943793654441833,0.6369360320329195,0.6138583638583638,0.5838760335001713,0.6173332333564758,0.5988800162986581,7.7069854000001214
5,2.122885147777327,1.5507376619923272,0.5721474785341254,0.6534488578664872,4,0.635989010989011,0.5944509721809559,0.6685855388641357,0.6434401639000596,0.6156135531135531,0.5671390624910244,0.6868017448319329,0.6028270076019498,9.51183089999904
6,2.0504190793269164,1.5015845634449212,0.5488345201658044,0.650705012135423,4,0.6222527472527473,0.5911429188262329,0.6500750780105591,0.646788547600412,0.6014194139194139,0.56423174585282,0.6699665122561984,0.605599674913265,11.280030100000658
7,2.0095095311419073,1.4675221044290399,0.5419874356228402,0.621211196790961,4,0.6208791208791209,0.6027222638508206,0.5951701998710632,0.6385692770634614,0.6026404151404152,0.5765190235680906,0.6187340550952487,0.600637003619678,13.053071199999977
8,1.9425737605003615,1.4154780302202228,0.5270957198866337,0.6275781163043284,4,0.5961538461538461,0.5954243626200878,0.5979716777801514,0.6293160523482731,0.5745573870573872,0.5707987251148267,0.6188091105884976,0.592519060530058,14.828446600000461
9,1.9445525686238756,1.4194437031191123,0.5251088543738813,0.6295834838312269,4,0.6126373626373627,0.5976327628395754,0.6156471371650696,0.6326855333072553,0.5917277167277167,0.5737105418240339,0.6318826112482283,0.5949462864748339,16.593893199999002
10,1.8778668339719478,1.372602720007805,0.5052641201440645,0.6232802943324738,4,0.6208791208791209,0.6017971809357645,0.6012656092643738,0.6372630613753215,0.5967643467643468,0.5767172074077411,0.6246481107340919,0.5966006741900463,18.464683799998966
11,1.751473382646451,1.2853142614129365,0.4661591139563053,0.6356210000056426,4,0.6291208791208791,0.5917935124523052,0.6084389090538025,0.6329151356027044,0.6053113553113553,0.565977490662197,0.6293970147768656,0.5917146855737243,20.256104199999754
12,1.6593955816681851,1.2174232028282093,0.4419723692628526,0.6575890622655454,4,0.5961538461538461,0.5705213476923385,0.6280220746994019,0.6161553424089616,0.5811965811965811,0.5504896983552788,0.6430060002538893,0.5802383502523307,22.022671000000628
