candidate,seeds,parameter_count,mean_selection_J,sd_selection_J,mean_clean_accuracy,sd_clean_accuracy,mean_clean_macro_f1,sd_clean_macro_f1,mean_clean_f1_1,sd_clean_f1_1,mean_clean_mae,sd_clean_mae,mean_clean_pearson,sd_clean_pearson,mean_masked_accuracy,sd_masked_accuracy,mean_masked_macro_f1,sd_masked_macro_f1,mean_masked_mae,sd_masked_mae,mean_masked_pearson,sd_masked_pearson
A_aug,3,130180,0.6200046784939569,0.0034264569969301726,0.6227106227106227,0.004196497889153685,0.6044063655905136,0.005127331534735693,0.47160188263167413,0.02316284983531783,0.5992341637611389,0.01451837227178565,0.624371216398987,0.013592863315731715,0.598256681590015,0.008745121336934432,0.5791931997474238,0.0013380534084369885,0.6222599575548996,0.010524979792309805,0.585007647533279,0.013721885484118396
A_clean,3,130180,0.6225720912006826,0.005508142746600994,0.6309523809523809,0.0020982489445768426,0.6066145688026346,0.011465337976776176,0.45860443928979755,0.04104864399063179,0.6097138524055481,0.0029537728660210417,0.6320038624062193,0.004484697174058102,0.599002849002849,0.0036249143150856823,0.5775428241911739,0.0035786047671502053,0.6262934553770372,0.004541653377321913,0.5930400930714445,0.004637880885128254
B2_aug,3,385925,0.6268536684019727,0.0028859814517716432,0.6282051282051282,0.006194024385745712,0.6025868538210226,0.008637116254476449,0.4426798239552012,0.030260564055067808,0.6073720653851827,0.008978238332889058,0.6469549156882106,0.01009173587612724,0.5998846832180166,0.005711069093858558,0.5754709826903116,0.0057915442787501385,0.6339571203714536,0.010878971557931537,0.5947896808967932,0.012278672824197078
B1_aug,3,253445,0.6365125391666631,0.009548574963776778,0.6108058608058609,0.009745328138183525,0.5889266835353065,0.007171305832654535,0.4419910618305682,0.023225782751867943,0.6060142517089844,0.0097127411111301,0.6321952184844052,0.015799532978648192,0.5889041514041514,0.010733882226986095,0.5666423057704488,0.009375693115060832,0.6328990069436439,0.009190858100824088,0.5844003599844287,0.014803595824522477
B1_clean,3,253445,0.65434653351916,0.00782710249074335,0.5993589743589743,0.005551444896054074,0.584987280663694,0.008123029712384973,0.458087890355483,0.017172666179906763,0.6109292109807333,0.009312537356557446,0.6332154453516841,0.006675261926373461,0.5650691900691901,0.007853071271055044,0.5503370656809569,0.00936154848626246,0.6497415414562931,0.003709229373227952,0.5652443310623987,0.007283580579281865
B2_clean,3,385925,0.6564423039117699,0.0138950751781872,0.6066849816849818,0.022584912921499112,0.584477699146041,0.021986644635451365,0.440504529297099,0.06860633693453554,0.6187084714571635,0.03153091144142066,0.6441012976150996,0.011018997102411393,0.5732346357346357,0.012858713139918697,0.5477994713203799,0.006364419959852226,0.6474091716018724,0.012331543001257975,0.5804631271683253,0.010068120086989261
