modalities,position,ratio,n,masked_positions,mean_actual_ratio,newly_lost_observed_ratio,accuracy,macro_f1,f1_0,f1_1,f1_2,mae,pearson,sign_conflict,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson
T,front,0.1,728,2032,0.12971193869701972,0.11833216864663405,0.6263736263736264,0.598572653343702,0.6293706293706294,0.4514285714285714,0.7149187592319055,0.6200277209281921,0.6086475546888431,0.012362637362637362,0.0,-0.010493469092112684,0.019481003284454346,-0.014639767670152737
A,front,0.1,728,2032,0.12971193869701972,0.1183580520845498,0.6167582417582418,0.5992218563007241,0.628428927680798,0.47,0.6992366412213741,0.6022185683250427,0.6217900330351767,0.008241758241758242,-0.009615384615384581,-0.009844266135090596,0.0016718506813049316,-0.0014972893238192064
V,front,0.1,728,2032,0.12971193869701972,0.11894762845849802,0.6263736263736264,0.6090661224358147,0.6384039900249376,0.4836272040302267,0.7051671732522796,0.6005467176437378,0.6232873223722946,0.006868131868131868,0.0,0.0,0.0,1.3298695478169975e-11
TA,front,0.1,728,2032,0.12971193869701972,0.11834509300833868,0.625,0.5958563940727494,0.6267281105990783,0.4438040345821326,0.717037037037037,0.6212014555931091,0.6072712639639722,0.019230769230769232,-0.0013736263736263687,-0.013209728363065332,0.020654737949371338,-0.016016058395023625
TV,front,0.1,728,2032,0.12971193869701972,0.11863085960915958,0.6263736263736264,0.598572653343702,0.6293706293706294,0.4514285714285714,0.7149187592319055,0.6200277209281921,0.6086475546888431,0.012362637362637362,0.0,-0.010493469092112684,0.019481003284454346,-0.014639767670152737
AV,front,0.1,728,2032,0.12971193869701972,0.11864457650519239,0.6167582417582418,0.5992218563007241,0.628428927680798,0.47,0.6992366412213741,0.6022185683250427,0.6217900330351767,0.008241758241758242,-0.009615384615384581,-0.009844266135090596,0.0016718506813049316,-0.0014972893238192064
T,front,0.3,728,5478,0.3284235928836993,0.3190076869322152,0.5769230769230769,0.5516722646117355,0.5898617511520737,0.4044943820224719,0.6606606606606606,0.6637178063392639,0.5273804036723944,0.013736263736263736,-0.0494505494505495,-0.05739385782407924,0.06317108869552612,-0.0959069186866015
A,front,0.3,728,5478,0.3284235928836993,0.3189886721943244,0.6126373626373627,0.5954251752635279,0.6268656716417911,0.46733668341708545,0.6920731707317073,0.6058453321456909,0.6188292285229485,0.005494505494505495,-0.013736263736263687,-0.01364094717228681,0.005298614501953125,-0.004458093836047339
V,front,0.3,728,5478,0.3284235928836993,0.3205904150197628,0.6263736263736264,0.6090661224358147,0.6384039900249376,0.4836272040302267,0.7051671732522796,0.6005467176437378,0.6232873223722946,0.006868131868131868,0.0,0.0,0.0,1.3298695478169975e-11
TA,front,0.3,728,5478,0.3284235928836993,0.31899819231442067,0.5755494505494505,0.5511964265382527,0.5747126436781609,0.4132231404958678,0.6656534954407295,0.6671926379203796,0.5234632133776645,0.016483516483516484,-0.050824175824175866,-0.05786969589756197,0.06664592027664185,-0.09982410898133132
TV,front,0.3,728,5478,0.3284235928836993,0.3197758062582424,0.5769230769230769,0.5516722646117355,0.5898617511520737,0.4044943820224719,0.6606606606606606,0.6637178063392639,0.5273804036723944,0.013736263736263736,-0.0494505494505495,-0.05739385782407924,0.06317108869552612,-0.0959069186866015
AV,front,0.3,728,5478,0.3284235928836993,0.3197670928627169,0.6126373626373627,0.5954251752635279,0.6268656716417911,0.46733668341708545,0.6920731707317073,0.6058453321456909,0.6188292285229485,0.005494505494505495,-0.013736263736263687,-0.01364094717228681,0.005298614501953125,-0.004458093836047339
T,front,0.5,728,8752,0.516434327252749,0.5096668996040066,0.5494505494505495,0.5294953068946877,0.5476190476190477,0.4,0.6408668730650154,0.6966885328292847,0.46878539480501275,0.01098901098901099,-0.07692307692307687,-0.079570815541127,0.09614181518554688,-0.15450192755398312
A,front,0.5,728,8752,0.516434327252749,0.5096344738993344,0.6126373626373627,0.596033955726942,0.6417910447761194,0.457286432160804,0.6890243902439024,0.6067795157432556,0.6187480188694946,0.005494505494505495,-0.013736263736263687,-0.01303216670887275,0.006232798099517822,-0.004539303489501267
V,front,0.5,728,8752,0.516434327252749,0.5119194664031621,0.6263736263736264,0.6090661224358147,0.6384039900249376,0.4836272040302267,0.7051671732522796,0.6005467176437378,0.6232873223722946,0.006868131868131868,0.0,0.0,0.0,1.3298695478169975e-11
TA,front,0.5,728,8752,0.516434327252749,0.5096507084961223,0.5439560439560439,0.5238451350691804,0.5361305361305362,0.39690721649484534,0.6384976525821596,0.6994868516921997,0.46542978762752685,0.017857142857142856,-0.08241758241758246,-0.0852209873666343,0.09894013404846191,-0.15785753473146902
TV,front,0.5,728,8752,0.516434327252749,0.5107601007073492,0.5494505494505495,0.5294953068946877,0.5476190476190477,0.4,0.6408668730650154,0.6966885328292847,0.46878539480501275,0.01098901098901099,-0.07692307692307687,-0.079570815541127,0.09614181518554688,-0.15450192755398312
AV,front,0.5,728,8752,0.516434327252749,0.5107449426736299,0.6126373626373627,0.596033955726942,0.6417910447761194,0.457286432160804,0.6890243902439024,0.6067795157432556,0.6187480188694946,0.005494505494505495,-0.013736263736263687,-0.01303216670887275,0.006232798099517822,-0.004539303489501267
T,middle,0.1,728,2032,0.12971193869701972,0.11833216864663405,0.6002747252747253,0.5748950964459495,0.6193853427895981,0.418732782369146,0.6865671641791045,0.621055006980896,0.5879995846700585,0.013736263736263736,-0.026098901098901117,-0.03417102598986521,0.020508289337158203,-0.03528773768893734
A,middle,0.1,728,2032,0.12971193869701972,0.1183580520845498,0.625,0.6073085651565203,0.6368159203980099,0.4810126582278481,0.7040971168437026,0.5988110303878784,0.6245076348721248,0.008241758241758242,-0.0013736263736263687,-0.001757557279294386,-0.001735687255859375,0.0012203125131289294
V,middle,0.1,728,2032,0.12971193869701972,0.11863883399209486,0.6263736263736264,0.6090661224358147,0.6384039900249376,0.4836272040302267,0.7051671732522796,0.6005467176437378,0.6232873223722946,0.006868131868131868,0.0,0.0,0.0,1.3298695478169975e-11
TA,middle,0.1,728,2032,0.12971193869701972,0.11834509300833868,0.6057692307692307,0.5792762491554816,0.6146572104018913,0.42777777777777776,0.6953937592867756,0.6188153028488159,0.58959689215278,0.019230769230769232,-0.020604395604395642,-0.029789873280333112,0.018268585205078125,-0.03369043020621587
TV,middle,0.1,728,2032,0.12971193869701972,0.11848099748231627,0.6002747252747253,0.5748950964459495,0.6193853427895981,0.418732782369146,0.6865671641791045,0.621055006980896,0.5879995846700585,0.013736263736263736,-0.026098901098901117,-0.03417102598986521,0.020508289337158203,-0.03528773768893734
AV,middle,0.1,728,2032,0.12971193869701972,0.11849450747343779,0.625,0.6073085651565203,0.6368159203980099,0.4810126582278481,0.7040971168437026,0.5988110303878784,0.6245076348721248,0.008241758241758242,-0.0013736263736263687,-0.001757557279294386,-0.001735687255859375,0.0012203125131289294
T,middle,0.3,728,5478,0.3284235928836993,0.3190076869322152,0.5755494505494505,0.5539318515725049,0.5763546798029556,0.42077922077922075,0.6646616541353384,0.6383363008499146,0.5481677217298737,0.017857142857142856,-0.050824175824175866,-0.0551342708633098,0.03778958320617676,-0.07511960062912215
A,middle,0.3,728,5478,0.3284235928836993,0.3189886721943244,0.6263736263736264,0.60784446626921,0.6417910447761194,0.47692307692307695,0.7048192771084337,0.5987130999565125,0.6244381696270603,0.008241758241758242,0.0,-0.0012216561666047454,-0.0018336176872253418,0.00115084726806447
V,middle,0.3,728,5478,0.3284235928836993,0.3199110671936759,0.6263736263736264,0.6090661224358147,0.6384039900249376,0.4836272040302267,0.7051671732522796,0.6005467176437378,0.6232873223722946,0.006868131868131868,0.0,0.0,0.0,1.3298695478169975e-11
TA,middle,0.3,728,5478,0.3284235928836993,0.31899819231442067,0.5837912087912088,0.5616945988994084,0.585956416464891,0.42744063324538256,0.6716867469879518,0.6363713145256042,0.5494301419247638,0.0260989010989011,-0.04258241758241754,-0.04737152353640628,0.035824596881866455,-0.07385718043423206
