epoch,fallback_clean,effective_rows,two_block_rows,group_T,group_A,group_V,group_TA,group_TV,group_AV,text_newly_lost,text_newly_lost_ratio,audio_newly_lost,audio_newly_lost_ratio,vision_newly_lost,vision_newly_lost_ratio
1,0,3395,1614,592,567,517,545,619,555,14816,0.19271090762467158,14158,0.1843081609539555,13750,0.1893078903528699
2,0,3395,1632,578,575,509,563,592,578,14454,0.18800239327801047,14213,0.1850241483005064,13843,0.19058830008398386
3,0,3395,1642,613,547,530,547,548,610,14534,0.18904294893473114,14684,0.19115560357733313,13820,0.19027163961284815
4,0,3395,1648,585,597,513,577,530,593,14413,0.1874691085039411,14905,0.1940325709152922,13102,0.18038632577478556
5,0,3395,1653,604,550,498,607,586,550,15286,0.19882417210790562,14663,0.19088222659046825,13365,0.18400726942298956
6,0,3395,1672,586,577,536,588,575,533,15647,0.20351967950885774,14099,0.18354010180038272,13436,0.18498478652953892
7,0,3395,1708,594,585,530,538,577,571,14726,0.1915402825108608,14416,0.18766679250686696,13902,0.19140060303167983
8,0,3395,1691,583,550,530,562,587,583,14347,0.18661065008714653,14503,0.18879935430959294,13836,0.19049192515798605
9,0,3395,1687,607,564,545,570,573,536,15014,0.19528628287505528,14000,0.18225132457659113,13478,0.18556303608552585
10,0,3395,1697,558,597,530,589,583,538,14923,0.1941026508155355,14396,0.18740643347175756,13383,0.18425509066126966
11,0,3395,1655,564,585,501,564,586,595,14128,0.18376212897687366,14770,0.19227514742830362,13686,0.18842674817231836
12,0,3395,1660,572,584,506,577,552,604,14425,0.18762519185244922,15023,0.19556868922243775,13729,0.18901876557487643
13,0,3395,1646,565,567,546,536,577,604,14178,0.18441247626232407,14431,0.18786206178319903,13603,0.1872840169069156
14,0,3395,1697,559,557,550,581,606,542,15376,0.1999947972217164,14279,0.18588333311636748,13890,0.1912353888728264
15,0,3395,1680,588,564,562,566,534,581,14392,0.18719596264405192,14744,0.1919366806826614,13907,0.1914694422645354
16,0,3395,1696,562,565,570,572,583,543,14806,0.19258083816758148,14242,0.18540166890141505,13588,0.18707749920834882
17,0,3395,1666,618,561,569,556,543,548,14539,0.1891079836632762,14177,0.18455550203730944,13641,0.18780719507661806
18,0,3395,1663,537,564,508,593,607,586,14490,0.18847064332353478,14745,0.19194969863441685,14073,0.19375490479534097
19,0,3395,1695,567,565,538,594,559,572,14482,0.1883665877578627,14959,0.1947355403100876,13874,0.1910151033276885
20,0,3395,1670,549,596,532,590,581,547,14776,0.19219062979631124,14834,0.19310829634065377,13298,0.18308482370272466
21,0,3395,1651,577,572,524,571,574,577,14627,0.19025259488566895,14883,0.19374617597667182,13829,0.1903955502319882
22,0,3395,1656,537,559,534,625,564,576,14857,0.19324419239874094,14904,0.1940195529635367,13727,0.1889912298817342
23,0,3395,1687,645,543,538,539,576,554,15038,0.19559844957207148,13909,0.18106669096684327,13444,0.18509492930210786
24,0,3395,1671,556,530,513,598,599,599,15095,0.19633984547748498,14518,0.188994623585925,14169,0.19507661806616827
25,0,3395,1721,591,566,544,529,610,555,15036,0.19557243568065347,14099,0.18354010180038272,14177,0.1951867608387372
26,0,3395,1683,530,580,513,567,636,569,14901,0.1938164980099373,14774,0.1923272192353255,13567,0.18678837443035534
27,0,3395,1719,580,580,497,585,587,566,15191,0.1975885122655498,15005,0.19533436609083926,13553,0.1865956245783597
28,0,3395,1748,569,585,537,576,542,586,14588,0.1897453240030176,15064,0.19610242524441204,13524,0.18619635702779727
29,0,3395,1685,547,573,541,550,601,583,14746,0.19180042142504097,14874,0.1936290144108726,13923,0.19168972780967328
30,0,3395,1721,532,545,557,567,598,596,14646,0.1904997268541401,14519,0.18900764153768046,14253,0.19623311717814218
