epoch,train_loss,train_class_loss,train_reg_loss,train_consistency_loss,train_auxiliary_loss,selection_J,best_epoch,clean_accuracy,clean_macro_f1,clean_mae,clean_pearson,masked_accuracy,masked_macro_f1,masked_mae,masked_pearson,elapsed_seconds
1,3.082449469826183,2.1549085387074016,0.9275409187062675,0.0,0.0,0.8647260634464982,1,0.5288461538461539,0.39338507589715316,0.7125911712646484,0.4436835212681434,0.5126678876678877,0.3696679614047119,0.7237628234757317,0.41392312792297964,3.9093877999985125
2,2.7480006045199636,2.02125514241838,0.7267454621015838,0.0,0.0,0.7960210140685746,2,0.554945054945055,0.4319763470406488,0.6696693897247314,0.5533893844603962,0.5533170533170534,0.4302071338101129,0.6834586748370418,0.5222815091042311,6.956334000002244
3,2.509897740916054,1.8576731068747385,0.6522246261759604,0.0,0.0,0.753466405592087,3,0.5782967032967034,0.47795363777098937,0.6704215407371521,0.5873079775737949,0.5703347578347578,0.4719772298920432,0.6842771029030835,0.5529677719961118,9.967209900001762
4,2.3372192516242634,1.7292231625415089,0.6079960953680159,0.0,0.0,0.7047611629309658,4,0.6002747252747253,0.5234387229957006,0.6466765999794006,0.5999412232018965,0.5898199023199023,0.5120218205156631,0.6629899696067527,0.5660670170271339,13.006541399998241
5,2.233914423059118,1.6453429988979065,0.5885714191049118,0.0,0.0,0.6525405291985623,5,0.6236263736263736,0.5812095987534583,0.6393148303031921,0.6079506910620325,0.6012413512413514,0.5602619608118725,0.6590526545489276,0.5725503114778334,16.077416200001608
6,2.1499939058595974,1.5920527744012307,0.5579411303084096,0.0,0.0,0.6405863944171287,6,0.635989010989011,0.5897196313803127,0.6185608506202698,0.6171980173572599,0.6103988603988605,0.5649634064906703,0.6407684783140818,0.5796162936868458,19.136930500004382
7,2.093095388538883,1.5555634089878627,0.5375319867887273,0.0,0.0,0.6169233997824355,7,0.6387362637362637,0.6115109445329404,0.6121048927307129,0.6227025318913492,0.6148758648758649,0.5868711884340557,0.6357831447212784,0.5840875311001624,22.10850339999888
8,2.0367932110717617,1.513753290696067,0.523039904677903,0.0,0.0,0.646478287919606,7,0.6332417582417582,0.5949699889970749,0.6577831506729126,0.6189425565942739,0.6097374847374847,0.5702709742604044,0.6724350132324077,0.5783358368929233,25.183263899998565
9,1.9657514464346053,1.4744716657278991,0.4912797807330411,0.0,0.0,0.6366137315354611,7,0.6483516483516484,0.6107828933162196,0.6503879427909851,0.6249693676831556,0.6184371184371185,0.5758198273540592,0.6679013205899132,0.5846580269062525,28.17509350000182
10,1.9250703605179935,1.4455312986612672,0.47953907189032113,0.0,0.0,0.636972960733183,7,0.6332417582417582,0.5946958670799015,0.6272233128547668,0.6311379681030371,0.6118233618233617,0.5712648369902906,0.6473077833652496,0.5888140673808516,31.21795060000295
11,1.8882015151724725,1.4233775957694637,0.46482391664662315,0.0,0.0,0.6144556557001251,11,0.635989010989011,0.6157301423884652,0.6129564642906189,0.6164367326934024,0.6091524216524218,0.5890088832067422,0.6362605933789853,0.5740580732345542,34.26068479999958
12,1.8488168534193195,1.3988846367343009,0.44993221837045166,0.0,0.0,0.6192511113389372,11,0.6263736263736264,0.6088581425591691,0.6133566498756409,0.6236541897761204,0.6049552299552301,0.5850319369621305,0.6365061821760954,0.580216785536871,37.21976010000071
13,1.780897811516044,1.3608392941583063,0.4200585196049821,0.0,0.0,0.6309644504658299,11,0.6208791208791209,0.602804830766578,0.630516767501831,0.6148260427592117,0.5997405372405373,0.5784833336593692,0.651940377774062,0.571215438168284,40.28500640000129
14,1.7399854221821534,1.3299682957083205,0.4100171220188464,0.0,0.0,0.6321442522688662,11,0.6263736263736264,0.6012652251912001,0.6286066770553589,0.619395489086386,0.6054894179894179,0.5770449074140376,0.6514413974903248,0.5765278758319963,43.32475179999892
15,1.7236064505682427,1.3098470700155829,0.41375937659364737,0.0,0.0,0.6402096932505754,11,0.6277472527472527,0.6020858876838424,0.6386366486549377,0.6081104053781099,0.6012159137159137,0.5697393718696154,0.6592638934100116,0.5625437130229066,46.34203669999988
16,1.6386027225689614,1.2548250587769565,0.38377766686879833,0.0,0.0,0.6384558391918889,11,0.6195054945054945,0.595903901167059,0.63216632604599,0.6154378957363704,0.5989519739519741,0.571660191349533,0.6539857233012164,0.5717208047526432,49.37376100000256
17,1.599471778616814,1.2283093875216455,0.37116238912882965,0.0,0.0,0.6443424394348419,11,0.6071428571428571,0.5925332581743864,0.6456274390220642,0.6004780343656175,0.5866402116402115,0.5703170541480843,0.6656450320173193,0.554463889994359,52.40465860000404
18,1.5570978455058957,1.1995290801872736,0.35756874961424645,0.0,0.0,0.6430046343535913,11,0.6153846153846154,0.5972512622258682,0.6425563097000122,0.6052076683527959,0.5898453398453398,0.5686218990567989,0.6609500602439597,0.560815412899983,55.39569930000289
19,1.5106174568013344,1.15839233607361,0.35222512184147103,0.0,0.0,0.654307553807852,11,0.5947802197802198,0.58596038489085,0.6521618366241455,0.5856122197285255,0.5732091982091982,0.5619374783242482,0.6716157562202878,0.5414586686503587,58.379073700001754
20,1.4429167147764226,1.1039484664512489,0.33896824488408084,0.0,0.0,0.6797424425361069,11,0.6181318681318682,0.5775285847239403,0.6826224327087402,0.5812528089094361,0.5876068376068376,0.5425948471431938,0.6967420853950359,0.5356566649232007,61.4685834999982
21,1.5285695816877138,1.1412853548558366,0.38728422827590725,0.0,0.0,0.653598288489335,11,0.6085164835164835,0.5886774187370934,0.650213360786438,0.5864532164727685,0.5855209605209605,0.5608318085610633,0.6688282114488108,0.5433842715555025,64.5189704000004
22,1.3364606119922755,1.0295511411110678,0.3069094713903492,0.0,0.0,0.6545336533818402,11,0.6085164835164835,0.5872896231547284,0.6549107432365417,0.5837230656213865,0.5866402116402116,0.5612521754060523,0.6708771818213992,0.5416349396583551,67.60296789999848
23,1.292610834887874,0.9874806090684632,0.3051302291771098,0.0,0.0,0.661331929947488,11,0.6181318681318682,0.5875590100370676,0.6571433544158936,0.5757899793091147,0.5895400895400895,0.553207616978426,0.6734617959570002,0.533144198091924,70.70359270000336
24,1.218940035092462,0.9303858184059519,0.28855421413202526,0.0,0.0,0.6685859408383851,11,0.5947802197802198,0.5744670519086326,0.6714940071105957,0.5699448822315275,0.5790852665852666,0.5542705961573872,0.6877912680308024,0.5274756548202288,73.75623810000252
25,1.1524300782775316,0.8730594733326705,0.27937060295218746,0.0,0.0,0.6643956939616547,11,0.6126373626373627,0.59061601607293,0.6802623271942139,0.5688547915533682,0.5810439560439561,0.5567469298395995,0.6916854723736092,0.5283454682894367,76.74842000000353
26,1.1374289427660351,0.8594009410123586,0.2780280087499801,0.0,0.0,0.6675146834867707,11,0.5989010989010989,0.5800315094484239,0.6653883457183838,0.5552678034400396,0.5729039479039479,0.5503391977523928,0.6793117214132238,0.5155634312715107,79.77702970000246
27,1.0742463620316474,0.8019229616964337,0.2723233988780161,0.0,0.0,0.672488111934457,11,0.6071428571428571,0.5786583096190099,0.678501546382904,0.5583200570421746,0.579543142043142,0.5494065532752909,0.6906632350550758,0.5201878497359663,82.8055314000012
28,1.0384079653314358,0.7732390046295256,0.26516895957828795,0.0,0.0,0.6740061454988175,11,0.614010989010989,0.5889248458386943,0.6982901692390442,0.5616946733199674,0.581043956043956,0.5518769738145342,0.7078169595312189,0.5219437361016666,85.83845020000444
29,0.9915471722345816,0.7373206089803502,0.2542265626924203,0.0,0.0,0.6892565978500697,11,0.614010989010989,0.5774547133752138,0.7141170501708984,0.5483712062879742,0.5803825803825804,0.5402435060239862,0.7171726061238183,0.5096850964579288,88.8631905000002
30,0.9576780793593102,0.7011668237697042,0.2565112513891903,0.0,0.0,0.6914101683769813,11,0.6098901098901099,0.575320767652522,0.7179524898529053,0.5492332745239257,0.578474765974766,0.5403122797847213,0.722580783896976,0.5111344966486505,91.8839197999987
