epoch,train_loss,selection_J,clean_accuracy,clean_macro_f1,clean_mae,masked_macro_f1,masked_mae
1,1.3667636604389843,0.7668053126965817,0.5892857142857143,0.45299356355069254,0.621680736541748,0.4426518183605421,0.6409433572380631
2,1.1425831902887402,0.6727769240084425,0.614010989010989,0.5386339636339637,0.6077085137367249,0.5330399112142241,0.6262918887314973
3,1.048643755421196,0.6380202489417501,0.6263736263736264,0.590255189281288,0.6119727492332458,0.5647764361407878,0.6326745770595692
4,0.9696427837913973,0.6466058593852644,0.6043956043956044,0.5887561151076399,0.6244388222694397,0.5593120060390857,0.6449692966761412
5,0.9499768877240098,0.6218549685719958,0.6332417582417582,0.6137396783494787,0.6124721765518188,0.5781334918541114,0.6314026360158567
6,0.8996413480550797,0.6381974014149042,0.6167582417582418,0.598880794211696,0.6280253529548645,0.5677139603759923,0.6454704966810014
7,0.8284043185226345,0.6620151181888674,0.6002747252747253,0.5663732189117032,0.6332759857177734,0.5489320123674,0.6501377335301152
8,0.7579759765004901,0.6477364490007191,0.6112637362637363,0.5836865863050346,0.6260485053062439,0.5598921361076178,0.6456259555286832
9,0.6900381127759178,0.6956382606067933,0.5865384615384616,0.5542744760606921,0.6857314109802246,0.5330287840813748,0.7073367337385813
10,0.6380843539125614,0.670496241396559,0.6043956043956044,0.5734395003066517,0.6481183171272278,0.5428269124537489,0.6678657642117253
11,0.5874111068617437,0.6554787605264994,0.5975274725274725,0.5811256354393609,0.6271458268165588,0.5518106378838968,0.6494239822581962
12,0.5187950310896704,0.6677134217849539,0.5961538461538461,0.572883140203972,0.6373609304428101,0.5437751046032532,0.6626084976726108
13,0.4501803182712886,0.6654897401733135,0.592032967032967,0.5698215807283576,0.6282868981361389,0.5428403048480458,0.650872489920369
14,0.38410770359376395,0.6783335286718962,0.5824175824175825,0.5566677240862771,0.6521416902542114,0.5392350616450158,0.6703264602908382
15,0.40600141225401887,0.7066284275026629,0.5892857142857143,0.5422812322126408,0.6740116477012634,0.5164634858049966,0.6935148504045274
16,0.31259738888059346,0.6958969661815683,0.5631868131868132,0.5375962216133218,0.6504679918289185,0.5217246546483224,0.6695353863415895
17,0.2853018856057362,0.6780352652574911,0.5824175824175825,0.5640816074741032,0.6492083668708801,0.5365171987429763,0.6693714757760366
18,0.25624053330765556,0.6819450489240241,0.6002747252747253,0.5666346540041037,0.6552090644836426,0.5337669711571046,0.6773127416769663
19,0.21417882290829263,0.6943267569606444,0.5892857142857143,0.5459830948886985,0.6644976735115051,0.5270474053218874,0.682933114193104
20,0.18285099250622455,0.6980588425390364,0.5755494505494505,0.5411440417368878,0.6556657552719116,0.5202126662020151,0.6754621587417744
21,0.15275847311838034,0.6979086682544509,0.570054945054945,0.5441428901154594,0.6644896864891052,0.5249226920948424,0.6890490772547545
22,0.15547053861337137,0.7093869805713693,0.5824175824175825,0.5367489347114012,0.6767592430114746,0.5154241901968301,0.6949830132502096
23,0.16331735541262227,0.6969370952713199,0.5618131868131868,0.5297679225288769,0.645449697971344,0.5207661545203646,0.6646648678514693
24,0.168378037591746,0.714670392066256,0.5563186813186813,0.5269737123669708,0.6733399033546448,0.5103661090452016,0.6923069733160513
25,0.15284265475525946,0.6881611890726342,0.5851648351648352,0.560097266389305,0.6479857563972473,0.5245591496957904,0.6704242196347978
26,0.12613913730302598,0.6896877670495072,0.5755494505494505,0.5482710645084666,0.6432307958602905,0.5242630094625821,0.6654008958074782
27,0.12858184960524008,0.6848849199265032,0.5865384615384616,0.5575071544828006,0.637986421585083,0.5248838653673716,0.6590362897625676
28,0.11235170882518934,0.6876954312550905,0.5728021978021978,0.5529903814401407,0.6399721503257751,0.524178046789216,0.6629821967195582
29,0.10954583406075287,0.6908528517931897,0.5728021978021978,0.5483037677832933,0.6524890661239624,0.5269313361473157,0.6750128280233454
30,0.10967467657245136,0.700893386022513,0.5782967032967034,0.5458037190009033,0.658938467502594,0.5167383199666192,0.6799460671566151
