epoch,train_loss,train_class_loss,train_reg_loss,train_consistency_loss,selection_J,best_epoch,clean_accuracy,clean_macro_f1,clean_mae,clean_pearson,masked_accuracy,masked_macro_f1,masked_mae,masked_pearson,elapsed_seconds
1,2.831781680770054,2.028382320326804,0.799217168317452,0.008364325982349785,0.7821900042201481,1,0.5769230769230769,0.4539297858652698,0.6773763298988342,0.5570610232392793,0.5669006919006919,0.44352854188213553,0.6874833184259909,0.5257093474131397,3.9573993000012706
2,2.3817758485740694,1.718839072197983,0.6478755745515556,0.030122430338380263,0.6780719785352032,2,0.5892857142857143,0.5482542857884554,0.6502955555915833,0.5971121170905208,0.5807387057387058,0.5403557024886063,0.6648441221978929,0.5616147640644473,6.75140200000169
3,2.222785205658476,1.617718789784652,0.5868684879458881,0.036395841742562614,0.6598242083782574,3,0.6222527472527473,0.5734450708652353,0.6344200372695923,0.6159148024735178,0.5994352869352869,0.551581530060188,0.6560131488022981,0.574241475842034,9.485147200000938
4,2.042434421624983,1.5063472679332008,0.5127380759445662,0.046698132925426836,0.6389998980851694,4,0.6112637362637363,0.6004166600408206,0.6533007621765137,0.6089308169379019,0.5916259666259666,0.5784813689544593,0.6740934385193719,0.5630462108247317,12.193432800002483
5,1.9723208158813275,1.4527962587016672,0.4942278963827771,0.05059330146951774,0.6400679348442985,4,0.603021978021978,0.5948221004960415,0.6581743955612183,0.6158621703524338,0.5884208384208384,0.5772172543743418,0.6673541378091883,0.5785091194285061,14.944097600000532
6,1.9136436903775178,1.407634331551497,0.4791226103600109,0.05377346941232901,0.6507639752762399,4,0.6208791208791209,0.5730573502263,0.6344544887542725,0.6333307286459384,0.6066086691086693,0.5615993200501804,0.6494263818970433,0.5932160999374031,17.673196200001257
7,1.7585519768879234,1.312562841097982,0.41506946092150526,0.06183934526364367,0.6132930067183405,7,0.6332417582417582,0.6168591897813026,0.6132721304893494,0.6311566748956592,0.6081603581603582,0.5897868228465915,0.6349676416979896,0.5883713819939285,20.459309600002598
8,1.7008167446976383,1.2685739913990992,0.39698802434643166,0.07050946193345341,0.619496148559168,7,0.6318681318681318,0.6142867252831471,0.6145175695419312,0.6117969565608836,0.6012413512413511,0.5840568688393347,0.6396027361905133,0.5659175723473181,23.23666570000205
9,1.6017263241474338,1.1924958246797104,0.37166632611375844,0.07512833167317383,0.6352643328455806,7,0.6208791208791209,0.6010634513947112,0.6345608234405518,0.6085592969545438,0.5911935286935287,0.5728159197981246,0.6490482676912237,0.5653732582800822,25.969556200001534
10,1.4799504404566601,1.1011361647249145,0.33419929498337503,0.08922998269358773,0.6627869897307176,7,0.5989010989010989,0.5668543607140099,0.6478143930435181,0.5957525675784419,0.5864367114367114,0.5538686225912288,0.6636700563960605,0.553309008571699,28.690526800000953
11,1.4008898900078393,1.0293072259829918,0.3219807259508015,0.09920386102143812,0.6550517677577143,7,0.6043956043956044,0.5778112872975057,0.6387981176376343,0.5862301960345498,0.586029711029711,0.5565728543126367,0.6548042153870618,0.544171809839936,31.526877800002694
12,1.297650852786248,0.9433819536959124,0.2986841418342843,0.11116952414189593,0.6433766041548985,7,0.6222527472527473,0.5963501022851948,0.6467828750610352,0.6011477589654112,0.5957214082214084,0.5689107509452689,0.6609944800535837,0.5589625937242023,34.30362400000013
13,1.2051246481896851,0.856705598030596,0.28793618754539996,0.12096571978483354,0.6723413924909775,7,0.5865384615384616,0.5652847311229202,0.6690422296524048,0.5757950121187819,0.5757529507529507,0.549878337974484,0.6812712384594811,0.5346425519771345,37.01386769999954
14,1.09717225540369,0.7681492524575415,0.26997716682297845,0.11809164962905497,0.6891126326494434,7,0.5906593406593407,0.5563790530141363,0.6953074932098389,0.5751897011946295,0.5773300773300774,0.5415726356469033,0.70577832614934,0.5328563831433759,39.76104730000225
15,1.016841896363316,0.67845900143018,0.26700080629652134,0.14276417235738223,0.6752720138265174,7,0.603021978021978,0.5717439271237973,0.6742404699325562,0.5625035181359016,0.581908831908832,0.5466591243205099,0.6880625320805444,0.5243185142480559,42.5419873000028
