epoch,train_loss,train_class_loss,train_reg_loss,selection_J,best_epoch,clean_accuracy,clean_macro_f1,clean_mae,clean_pearson,masked_accuracy,masked_macro_f1,masked_mae,masked_pearson,elapsed_seconds
1,3.491270817994018,2.1655522885835223,1.3257185429993013,0.9308592290390275,1,0.4697802197802198,0.3340953938011097,0.8378356099128723,0.21704294017923,0.47603785103785107,0.348502300212013,0.8237606739556348,0.2261613410921125,3.4291185999991285
2,2.9787315874984586,2.049538428161913,0.9291931604074976,0.7466003006301196,2,0.5521978021978022,0.5002638177402899,0.7259693145751953,0.4550842514206212,0.5348494098494099,0.4954914774842463,0.731149681188442,0.43051618474922854,5.928400299999339
3,2.3946358294479975,1.6961846948547812,0.6984511396495162,0.7923367197396283,2,0.5604395604395604,0.48034251205645706,0.7894114255905151,0.5375830446964668,0.548560236060236,0.47006795756529995,0.7967561218473647,0.4787069837125794,8.335503500000414
4,2.2731532081412986,1.6116549661127912,0.6614982448375629,0.6598044838521626,4,0.603021978021978,0.5698089414109712,0.6126158833503723,0.634344249831001,0.5816035816035816,0.5451975676898447,0.6404142854390321,0.5852705038324744,10.728138099999342
5,1.9905203320316434,1.4634692372208316,0.5270510959344339,0.6295622853524105,5,0.6346153846153846,0.5927789894770356,0.5977783799171448,0.6558655633487005,0.6062779812779814,0.5703250260139868,0.6227437489562564,0.6066677802973031,13.163409099999626
6,1.8720855293990235,1.3721869764342047,0.4998985563356852,0.6424624098836667,5,0.6112637362637363,0.5780988656684066,0.6063569188117981,0.6440316659471123,0.5939916564916564,0.5615515592848334,0.6304842101203071,0.5956163735422735,15.596644499999456
7,1.7832834516252791,1.301323376699119,0.48196007386837514,0.6369080060970284,5,0.6167582417582418,0.5958606860015311,0.618305504322052,0.6534254669010867,0.5898453398453399,0.5671128775535705,0.6387295082763389,0.6058051833879246,18.056759499999316
8,1.660496721176406,1.2275704810826522,0.43292623784650935,0.6801280935924378,5,0.614010989010989,0.5610405950513969,0.6723869442939758,0.6280339309431272,0.5943986568986569,0.5447344190895264,0.6916272452584019,0.5799161046575697,20.514854600000035
9,1.444142026788883,1.0609087481941144,0.3832332796393859,0.7103490447049637,5,0.5879120879120879,0.5347398966023845,0.6837009191513062,0.6019445441108814,0.5669261294261294,0.516781476593104,0.6985801988177829,0.5538499763263321,22.932548799999495
10,1.4091388309651516,1.0040320522084678,0.40510677371355147,0.6874410265373293,5,0.5975274725274725,0.5592508697506889,0.6753539443016052,0.6181653847591231,0.5733109483109483,0.536061275561983,0.6920808211520866,0.5701797302196197,25.367763599999307
11,1.1940552117020462,0.824260680348954,0.36979452997489953,0.7175924582217124,5,0.5769230769230769,0.5418619328468365,0.724925696849823,0.5893159759970303,0.5602106227106227,0.5200818176284712,0.7308353196691584,0.53895428749733,27.753064200000154
12,1.039589567282765,0.7112123426176136,0.3283772271933015,0.6805604283163412,5,0.5989010989010989,0.5732299088411464,0.6663286685943604,0.5937442891256374,0.5623473748473748,0.5333736041440745,0.6734828783406152,0.5487966827650966,30.205666800000472
13,0.9305905380375431,0.5956190422704013,0.33497149071742577,0.6971924818529426,5,0.5563186813186813,0.5516888362272426,0.6855424046516418,0.6103290652611253,0.5357142857142857,0.5267852726174388,0.6923004466074484,0.5588607800621398,32.61352740000075
14,0.7063537786828576,0.43396402666775924,0.27238974695879864,0.7042540624845481,5,0.5782967032967034,0.5477027423010918,0.6751824021339417,0.5650871308825011,0.5473392348392347,0.516935883902678,0.6904658432360049,0.519300059296256,35.03329510000003
15,0.6555722408687945,0.3783470277407032,0.27722521627072205,0.7172549173188283,5,0.5645604395604396,0.5354245989133761,0.7056584358215332,0.5218944267034147,0.5363756613756614,0.5097758307289074,0.6985522817682337,0.49639519476069943,37.49180139999953
16,0.7985150757875288,0.49154356714552033,0.30697151114382343,0.7023875940259339,5,0.5741758241758241,0.5405392954999065,0.6928099989891052,0.5848574628083489,0.5556064306064307,0.5236213114700854,0.6900169396841968,0.5390369288447038,39.95496859999912
17,0.6146358780771363,0.3499192662504179,0.2647166095761821,0.7208736959192741,5,0.5618131868131868,0.5394133365690373,0.7293670773506165,0.5646294223804909,0.540471102971103,0.5154043982050074,0.7259989557442842,0.5258951181678936,42.38171289999991
18,0.5263565690773752,0.2914993206776997,0.2348572489614866,0.721129905498662,5,0.532967032967033,0.528373947319285,0.6980080008506775,0.5545306405681256,0.5104802604802605,0.5061876430706093,0.6987871649088683,0.5154633302949323,44.810606400000324
19,0.7576418204230307,0.4557204443154876,0.3019213763621138,0.7102172933653834,5,0.5755494505494505,0.5354846468915156,0.6627960205078125,0.5544910197230114,0.5558862433862434,0.5091834225881364,0.6829720812815206,0.5190026588395025,47.21105539999917
20,0.6158720121467939,0.34514883225989446,0.2707231784955391,0.6998688848339281,5,0.5892857142857143,0.5611368308029916,0.6967480182647705,0.5575634233997852,0.5455586080586081,0.521985643142239,0.694319960143831,0.5258745212721831,49.63129730000037
