modalities,position,ratio,n,masked_positions,mean_actual_ratio,newly_lost_observed_ratio,unobservable_positions,accuracy,macro_f1,f1_0,f1_1,f1_2,mae,pearson,sign_conflict,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson
T,front,0.1,728,2032,0.12971193869701972,0.11833216864663405,5,0.6085164835164835,0.5930706460988151,0.6384976525821596,0.455,0.6857142857142857,0.6019628047943115,0.6296612228041113,0.023351648351648352,-0.009615384615384692,-0.01156669792780074,0.01731938123703003,-0.02360155890526039
A,front,0.1,728,2032,0.12971193869701972,0.1183580520845498,0,0.6126373626373627,0.5997460635253324,0.6237623762376238,0.4834123222748815,0.692063492063492,0.5856119394302368,0.6524547522929138,0.01510989010989011,-0.005494505494505475,-0.0048912805012834015,0.0009685158729553223,-0.0008080294164578561
V,front,0.1,728,2032,0.12971193869701972,0.11894762845849802,0,0.6195054945054945,0.6046899447188748,0.6287128712871287,0.48426150121065376,0.701095461658842,0.582897424697876,0.6546783291031437,0.016483516483516484,0.0013736263736263687,5.2600692258986115e-05,-0.0017459988594055176,0.001415547393772032
TA,front,0.1,728,2032,0.12971193869701972,0.11834509300833868,106,0.6085164835164835,0.5934768726667218,0.6416861826697893,0.457286432160804,0.6814580031695721,0.6021566390991211,0.6284665345125662,0.01510989010989011,-0.009615384615384692,-0.011160471359894064,0.0175132155418396,-0.02479624719680551
TV,front,0.1,728,2032,0.12971193869701972,0.11863085960915958,5,0.6043956043956044,0.5866080400302129,0.6355140186915887,0.4387755102040816,0.6855345911949685,0.6022002696990967,0.629094627607242,0.0260989010989011,-0.013736263736263798,-0.0180293039964029,0.017556846141815186,-0.02416815410212969
AV,front,0.1,728,2032,0.12971193869701972,0.11864457650519239,0,0.6167582417582418,0.6024004707392346,0.6271604938271605,0.4819277108433735,0.6981132075471698,0.5835753083229065,0.6538955891522172,0.016483516483516484,-0.0013736263736263687,-0.0022368732873812025,-0.001068115234375,0.000632807442845551
T,front,0.3,728,5478,0.3284235928836993,0.3190076869322152,15,0.5824175824175825,0.564476145843794,0.585956416464891,0.44387755102040816,0.663594470046083,0.6326352953910828,0.5474603714115069,0.02197802197802198,-0.0357142857142857,-0.04016119818282182,0.04799187183380127,-0.10580241029786475
A,front,0.3,728,5478,0.3284235928836993,0.3189886721943244,0,0.6112637362637363,0.5980310626635176,0.6339066339066339,0.47572815533980584,0.6844583987441131,0.5885356664657593,0.648043629477935,0.012362637362637362,-0.006868131868131844,-0.006606281363098265,0.003892242908477783,-0.005219152231436652
V,front,0.3,728,5478,0.3284235928836993,0.3205904150197628,0,0.6236263736263736,0.6089566654030208,0.6370370370370371,0.4878048780487805,0.7020280811232449,0.582435131072998,0.6543853065927497,0.01510989010989011,0.005494505494505475,0.004319321376405005,-0.0022082924842834473,0.001122524883378051
TA,front,0.3,728,5478,0.3284235928836993,0.31899819231442067,287,0.592032967032967,0.5721603959336728,0.5899280575539568,0.45382585751978893,0.6727272727272727,0.6374826431274414,0.5387289529860456,0.023351648351648352,-0.026098901098901117,-0.03247694809294299,0.05283921957015991,-0.11453382872332607
TV,front,0.3,728,5478,0.3284235928836993,0.3197758062582424,15,0.5741758241758241,0.5512266647455756,0.5857142857142857,0.4053333333333333,0.6626323751891074,0.6332951784133911,0.5474597666826538,0.027472527472527472,-0.04395604395604402,-0.05341067928104026,0.04865175485610962,-0.10580301502671785
AV,front,0.3,728,5478,0.3284235928836993,0.3197670928627169,0,0.6222527472527473,0.6072585299609573,0.6472019464720195,0.48,0.6945736434108527,0.586216926574707,0.6491806763180173,0.01510989010989011,0.004120879120879106,0.0026211859343414634,0.0015735030174255371,-0.00408210539135434
T,front,0.5,728,8752,0.516434327252749,0.5096668996040066,24,0.5645604395604396,0.5468906754653785,0.5590361445783133,0.44041450777202074,0.6412213740458015,0.6574817895889282,0.5106844813291429,0.024725274725274724,-0.0535714285714286,-0.057746668561237335,0.07283836603164673,-0.14257830038022878
A,front,0.5,728,8752,0.516434327252749,0.5096344738993344,0,0.6167582417582418,0.6040005775272964,0.6374695863746959,0.4889975550122249,0.6855345911949685,0.5937832593917847,0.6451453785500136,0.012362637362637362,-0.0013736263736263687,-0.00063676649931943,0.009139835834503174,-0.00811740315935805
V,front,0.5,728,8752,0.516434327252749,0.5119194664031621,0,0.625,0.6106519130494229,0.6469135802469136,0.4841075794621027,0.7009345794392523,0.5839799046516418,0.6523336479075957,0.012362637362637362,0.006868131868131844,0.006014569022807059,-0.0006635189056396484,-0.0009291338017759498
TA,front,0.5,728,8752,0.516434327252749,0.5096507084961223,463,0.5645604395604396,0.5469598273304519,0.5687645687645687,0.43617021276595747,0.6359447004608295,0.6664592027664185,0.502452795847763,0.024725274725274724,-0.0535714285714286,-0.057677516696163944,0.08181577920913696,-0.15080998586160865
TV,front,0.5,728,8752,0.516434327252749,0.5107601007073492,24,0.5659340659340659,0.5435272491512665,0.5571428571428572,0.42276422764227645,0.6506746626686657,0.6594195365905762,0.5088981052529793,0.028846153846153848,-0.052197802197802234,-0.06111009487534935,0.07477611303329468,-0.1443646764563924
AV,front,0.5,728,8752,0.516434327252749,0.5107449426736299,0,0.6236263736263736,0.6100484740008576,0.6587112171837709,0.4860759493670886,0.6853582554517134,0.5930180549621582,0.6440119118219585,0.013736263736263736,0.005494505494505475,0.005411129974241757,0.008374631404876709,-0.009250869887413193
T,middle,0.1,728,2032,0.12971193869701972,0.11833216864663405,5,0.6057692307692307,0.5937184343434344,0.6363636363636364,0.4666666666666667,0.678125,0.6009006500244141,0.6261423031196389,0.012362637362637362,-0.01236263736263743,-0.010918909683181433,0.01625722646713257,-0.027120478589732766
A,middle,0.1,728,2032,0.12971193869701972,0.1183580520845498,0,0.6126373626373627,0.6002476209799587,0.6271604938271605,0.48687350835322196,0.6867088607594937,0.5848729610443115,0.6530943178648764,0.01510989010989011,-0.005494505494505475,-0.00438972304665719,0.0002295374870300293,-0.0001684638444953146
V,middle,0.1,728,2032,0.12971193869701972,0.11863883399209486,0,0.6181318681318682,0.6052839429846003,0.630272952853598,0.49047619047619045,0.6951026856240127,0.584333062171936,0.6535424422302754,0.016483516483516484,0.0,0.0006465989579844678,-0.000310361385345459,0.00027966052090366844
TA,middle,0.1,728,2032,0.12971193869701972,0.11834509300833868,111,0.6112637362637363,0.5987764705085538,0.6466165413533834,0.4674698795180723,0.6822429906542056,0.6002660989761353,0.626600104745696,0.01098901098901099,-0.006868131868131844,-0.005860873518062082,0.01562267541885376,-0.026662676963675636
TV,middle,0.1,728,2032,0.12971193869701972,0.11848099748231627,5,0.6002747252747253,0.5879203503263654,0.631578947368421,0.45714285714285713,0.6750392464678179,0.6020784378051758,0.6247091370460447,0.01098901098901099,-0.017857142857142905,-0.016716993700250482,0.017435014247894287,-0.028553644663326994
AV,middle,0.1,728,2032,0.12971193869701972,0.11849450747343779,0,0.6126373626373627,0.6004196599500486,0.6253101736972705,0.4881516587677725,0.687797147385103,0.5841996073722839,0.6535199032885339,0.01510989010989011,-0.005494505494505475,-0.004217684076567196,-0.0004438161849975586,0.000257121579162245
T,middle,0.3,728,5478,0.3284235928836993,0.3190076869322152,15,0.5782967032967034,0.5688533465778034,0.5897435897435898,0.4703196347031963,0.6464968152866242,0.6205586791038513,0.5762193220205107,0.02197802197802198,-0.039835164835164805,-0.035783997448812443,0.035915255546569824,-0.07704345968886095
A,middle,0.3,728,5478,0.3284235928836993,0.3189886721943244,0,0.6112637362637363,0.5986447165645631,0.6305418719211823,0.4819277108433735,0.6834645669291338,0.585979163646698,0.6535719785219509,0.01510989010989011,-0.006868131868131844,-0.0059926274620527575,0.001335740089416504,0.0003091968125792377
V,middle,0.3,728,5478,0.3284235928836993,0.3199110671936759,0,0.6167582417582418,0.6042073638108764,0.630272952853598,0.48931116389548696,0.6930379746835443,0.5837646126747131,0.6535134554401807,0.019230769230769232,-0.0013736263736263687,-0.0004299802157394783,-0.0008788108825683594,0.00025067373080900346
TA,middle,0.3,728,5478,0.3284235928836993,0.31899819231442067,298,0.5837912087912088,0.5743935508601564,0.5989847715736041,0.47139588100686497,0.6528,0.6218516230583191,0.576714900223857,0.024725274725274724,-0.03434065934065933,-0.03024379316645942,0.0372081995010376,-0.07654788148551472
TV,middle,0.3,728,5478,0.3284235928836993,0.3194461095791871,15,0.5796703296703297,0.5690455057887648,0.5888324873096447,0.46543778801843316,0.6528662420382165,0.6211603879928589,0.5733540992633689,0.02197802197802198,-0.038461538461538436,-0.03559183823785106,0.03651696443557739,-0.0799086824460028
AV,middle,0.3,728,5478,0.3284235928836993,0.3194369409928567,0,0.6153846153846154,0.6026812834278928,0.6372549019607843,0.4830917874396135,0.6876971608832808,0.5846754908561707,0.6535441945035436,0.020604395604395604,-0.0027472527472527375,-0.0019560605987229973,3.2067298889160156e-05,0.0002814127941719313
T,middle,0.5,728,8752,0.516434327252749,0.5096668996040066,24,0.5439560439560439,0.5377841413602032,0.5616797900262467,0.44155844155844154,0.6101141924959217,0.6530866622924805,0.5312116858595896,0.01510989010989011,-0.07417582417582425,-0.06685320266641259,0.06844323873519897,-0.12205109584978213
A,middle,0.5,728,8752,0.516434327252749,0.5096344738993344,0,0.6071428571428571,0.5939642516905631,0.6188118811881188,0.47961630695443647,0.6834645669291338,0.5891924500465393,0.6517053369363816,0.016483516483516484,-0.010989010989011061,-0.010673092336052736,0.0045490264892578125,-0.0015574447729901353
V,middle,0.5,728,8752,0.516434327252749,0.5101284584980237,0,0.6112637362637363,0.5988598681760077,0.6253101736972705,0.4845605700712589,0.6867088607594937,0.5827052593231201,0.653417585594687,0.016483516483516484,-0.006868131868131844,-0.005777475850608171,-0.001938164234161377,0.0001548038853153022
TA,middle,0.5,728,8752,0.516434327252749,0.5096507084961223,492,0.5384615384615384,0.531101152382588,0.5544041450777202,0.4307692307692308,0.608130081300813,0.6621829271316528,0.530375833114468,0.016483516483516484,-0.07967032967032972,-0.0735361916440278,0.07753950357437134,-0.12288694859490368
TV,middle,0.5,728,8752,0.516434327252749,0.5098909003716581,24,0.5357142857142857,0.5301225486049811,0.5549738219895288,0.4344086021505376,0.6009852216748769,0.6527754664421082,0.5271030033146815,0.02197802197802198,-0.08241758241758246,-0.07451479542163475,0.06813204288482666,-0.12615977839469017
AV,middle,0.5,728,8752,0.516434327252749,0.5098745422894532,0,0.6043956043956044,0.5919159581510748,0.6237623762376238,0.4748201438848921,0.6771653543307087,0.5868546366691589,0.6514695560083124,0.023351648351648352,-0.013736263736263798,-0.012721385875541058,0.0022112131118774414,-0.001793225701059331
T,back,0.1,728,2032,0.12971193869701972,0.11833216864663405,3,0.5851648351648352,0.5717670658217359,0.6235011990407674,0.44783715012722647,0.6439628482972136,0.6132420897483826,0.6146527388090215,0.019230769230769232,-0.03296703296703296,-0.03287027820487998,0.028598666191101074,-0.038610042900350194
A,back,0.1,728,2032,0.12971193869701972,0.11847483358635992,0,0.6195054945054945,0.6064901337442706,0.628428927680798,0.49056603773584906,0.7004754358161648,0.5855754017829895,0.6523316972204997,0.017857142857142856,0.0013736263736263687,0.0018527897176547903,0.0009319782257080078,-0.0009310844888720249
V,back,0.1,728,2032,0.12971193869701972,0.11728013833992094,0,0.6195054945054945,0.6062602198587275,0.6287128712871287,0.4940047961630695,0.6960629921259842,0.585085391998291,0.6527976409196419,0.016483516483516484,0.0013736263736263687,0.0016228758321116254,0.0004419684410095215,-0.0004651407897298121
TA,back,0.1,728,2032,0.12971193869701972,0.11840340544638171,133,0.5934065934065934,0.579067793608366,0.6280193236714976,0.4517766497461929,0.6574074074074074,0.6145452260971069,0.6140287056825435,0.013736263736263736,-0.02472527472527475,-0.02556955041824982,0.02990180253982544,-0.03923407602682816
TV,back,0.1,728,2032,0.12971193869701972,0.11782160412420573,3,0.5796703296703297,0.564957436191117,0.6220095693779905,0.4318766066838046,0.6409861325115562,0.61522376537323,0.6124950009975259,0.020604395604395604,-0.038461538461538436,-0.039679907835498796,0.030580341815948486,-0.040767780711845836
AV,back,0.1,728,2032,0.12971193869701972,0.11789423134641935,0,0.6208791208791209,0.6079119973656724,0.6268656716417911,0.49528301886792453,0.7015873015873015,0.5857585072517395,0.6520272439920968,0.019230769230769232,0.0027472527472527375,0.0032746533390565213,0.0011150836944580078,-0.001235537717274915
T,back,0.3,728,5478,0.3284235928836993,0.3190076869322152,13,0.5741758241758241,0.5616078967472156,0.6071428571428571,0.430622009569378,0.6470588235294118,0.6287804245948792,0.5991673194663291,0.020604395604395604,-0.04395604395604402,-0.04302944727940028,0.044137001037597656,-0.054095462243042625
A,back,0.3,728,5478,0.3284235928836993,0.3191054536961345,0,0.6236263736263736,0.6098960707804207,0.6397984886649875,0.4845605700712589,0.7053291536050157,0.5874761939048767,0.651094113042779,0.013736263736263736,0.005494505494505475,0.005258726753804899,0.002832770347595215,-0.00216866866659271
