epoch,train_loss,selection_J,clean_accuracy,clean_macro_f1,clean_mae,masked_macro_f1,masked_mae
1,1.351530342565545,0.751975796723001,0.5934065934065934,0.46643561491686153,0.6414924263954163,0.4631419494943338,0.6499338414933946
2,1.1292458738248372,0.6609323580514059,0.6208791208791209,0.5708809772263772,0.6418842673301697,0.5508441603021813,0.6531814678951546
3,1.0426225328480547,0.6284036715967122,0.6291208791208791,0.5933887544662696,0.6100720763206482,0.5737056340860203,0.6247629843376301
4,0.9905072335115414,0.6522191989949079,0.6222527472527473,0.5828889463226877,0.6437992453575134,0.5581311005426253,0.6515592954776905
5,0.9538848897669909,0.6981409758129007,0.5934065934065934,0.55108858599379,0.7059670090675354,0.530207314898051,0.6989520975837001
6,0.8917407732297816,0.6564783487055478,0.603021978021978,0.5734549171194622,0.6234308481216431,0.549505039283513,0.6400731470849779
7,0.8196455062576878,0.6787791305842079,0.6085164835164835,0.5623385653818616,0.6553611159324646,0.5369017677558809,0.6697066856755151
8,0.7703418224303817,0.6594058451088224,0.5810439560439561,0.5702295074756574,0.6246960759162903,0.5471377225488387,0.6410340302520328
9,0.7023069299548996,0.6777548407657619,0.5673076923076923,0.5522144715188194,0.6550926566123962,0.5423494442489538,0.6719179484579298
10,0.6898731268207173,0.6770280526219485,0.5810439560439561,0.5534882657157171,0.6624200344085693,0.5426762757005752,0.6688226251690476
11,0.6969475189522897,0.6703147269175884,0.5837912087912088,0.5659911970144716,0.6342858672142029,0.5387251390846879,0.6519968995341549
12,0.5258498079822411,0.6743626528421554,0.5769230769230769,0.5641667262457997,0.6261177659034729,0.5312985952786783,0.6468072014826315
13,0.4756573125127489,0.6831249921130588,0.5906593406593407,0.5555704714349944,0.6656009554862976,0.5370488175518111,0.6773499073805632
14,0.42054069502188635,0.6735570817652274,0.5728021978021978,0.55970240777019,0.635102391242981,0.5379149978123314,0.6559749311870999
15,0.42773146636356135,0.6836447684709054,0.5796703296703297,0.5561544346961523,0.6508090496063232,0.5327517515047249,0.672052413225174
16,0.32714055540459847,0.6905911843478276,0.5906593406593407,0.5559445024962266,0.6646712422370911,0.5272638348484454,0.6785436636871762
17,0.29218090099772226,0.7009574558479346,0.5686813186813187,0.5335499730913752,0.6612395644187927,0.5211269885448047,0.6803475739779296
18,0.24818265301577297,0.703011774501713,0.5782967032967034,0.5537706957676409,0.6802476048469543,0.5218708339623833,0.7046810940459922
19,0.2417398306863473,0.6989627047456429,0.5521978021978022,0.5390107258641742,0.653404712677002,0.5184755361112079,0.6724865822880356
20,0.2087412058736509,0.6815436349646854,0.5851648351648352,0.5676119407275186,0.6438621878623962,0.528840637462935,0.6656876636876
21,0.19483145751903966,0.6964168203421229,0.5714285714285714,0.545071230468478,0.659661591053009,0.5234109790822609,0.6810842520660825
22,0.17965794013859773,0.7070179354915613,0.5865384615384616,0.5452823879740251,0.6747629046440125,0.5156787153177058,0.6954693076787172
23,0.17985758955353137,0.6864348559185088,0.5782967032967034,0.5509812701362305,0.6342320442199707,0.5243229287372939,0.658278798615491
24,0.17751870531045635,0.6833808632708984,0.5879120879120879,0.5556428305100481,0.6312779784202576,0.5266742615098348,0.6587630753163938
25,0.24990293089744794,0.6945785910462148,0.5714285714285714,0.5493680609796021,0.6449561715126038,0.5184868299574942,0.668157524532742
26,0.16994993444394996,0.6747203223967888,0.5865384615384616,0.5658248141630953,0.635658323764801,0.535045683798465,0.6579570472240448
27,0.15496719457176192,0.6999383271810208,0.5782967032967034,0.5426121417771278,0.6778713464736938,0.5258382701742095,0.693923145532608
28,0.1452622510031941,0.6894230660802084,0.5892857142857143,0.5538352265666203,0.6560238599777222,0.5268679153602543,0.673456616975643
29,0.13559467757617252,0.6820947535401339,0.5782967032967034,0.556435342196049,0.6337367296218872,0.526895138683602,0.6542541958667614
30,0.11949311919257989,0.6993367763672685,0.5673076923076923,0.5402974322853301,0.6545757055282593,0.5182956989088203,0.6743397326381119
