epoch,train_loss,train_class_loss,train_reg_loss,train_consistency_loss,train_auxiliary_loss,selection_J,best_epoch,clean_accuracy,clean_macro_f1,clean_mae,clean_pearson,masked_accuracy,masked_macro_f1,masked_mae,masked_pearson,elapsed_seconds
1,2.8434890136100757,2.055498950189975,0.7879900544837929,0.0,0.0,0.7766380116247926,1,0.5755494505494505,0.4400707904125693,0.6358482241630554,0.6027482049680374,0.5690374440374439,0.4407491489355739,0.6569208756641105,0.5684222148441297,4.105020800001512
2,2.3707522666858116,1.7261013774352152,0.6446508909162787,0.0,0.0,0.7204596786545057,2,0.5879120879120879,0.49950908355163676,0.6224638223648071,0.6221860957806453,0.5817053317053318,0.49001926309719995,0.6439176466729906,0.5818339268800765,7.2505788999988
3,2.183145695828198,1.5991893052001414,0.5839563828153709,0.0,0.0,0.6384044094029905,3,0.6277472527472527,0.5904362321135675,0.6202578544616699,0.6405772204951673,0.6063034188034188,0.5677519904415042,0.640557222896152,0.600961032536353,10.36410369999794
4,2.070338569228182,1.5261169394266973,0.5442216342959734,0.0,0.0,0.6231019634987515,4,0.6208791208791209,0.6051868659631188,0.608528196811676,0.6395948963091188,0.5947293447293446,0.5793257117828337,0.6327291230360667,0.600029486248838,13.52083500000299
5,1.953997497670956,1.4439835784361534,0.5100139254147245,0.0,0.0,0.6236523994423772,4,0.6318681318681318,0.610270335875717,0.6169596314430237,0.6327171483057438,0.5980616605616604,0.5791415023049796,0.6366512300791564,0.5934726628054359,16.67638209999859
6,1.8821249809110638,1.3909117079272713,0.4912132712851919,0.0,0.0,0.6309249273476467,4,0.6291208791208791,0.6019253502467549,0.6146526336669922,0.6299178164102557,0.6000966625966626,0.5714706086561923,0.6351526743835874,0.5883554959466892,19.83061099999759
7,1.777782257912963,1.3280531604089862,0.44972911046513403,0.0,0.0,0.6274413745031622,4,0.6153846153846154,0.6102320337614455,0.616432249546051,0.6220553336920334,0.5820614570614571,0.5746242931808199,0.6383929948012034,0.5803239908899803,22.916809100002865
8,1.6435906344555615,1.228379693227945,0.4152109355897545,0.0,0.0,0.6590722004891818,4,0.5989010989010989,0.5709960489922712,0.6424709558486938,0.6040641551452427,0.5826973951973953,0.5552792715560676,0.6589656803343031,0.5623469471388863,26.084583000003477
9,1.5388840846004121,1.1395677533873052,0.39931632559499614,0.0,0.0,0.678847791653616,4,0.6126373626373627,0.5726111493741426,0.7018442749977112,0.59535690838219,0.595619658119658,0.5509778314727988,0.706987718741099,0.5592220504824351,29.19541659999959
10,1.4469733623060808,1.0727572047833316,0.37421615481244974,0.0,0.0,0.6659408187811506,4,0.6153846153846154,0.5827436742782869,0.6704531908035278,0.5948996525080025,0.5837657712657712,0.5519398575490636,0.6788421251155712,0.5540835438042282,32.417670499999076
