modalities,position,ratio,n,masked_positions,mean_actual_ratio,newly_lost_observed_ratio,accuracy,macro_f1,f1_0,f1_1,f1_2,mae,pearson,sign_conflict,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson
T,front,0.1,728,2032,0.12971193869701972,0.11833216864663405,0.6071428571428571,0.5619301140750061,0.6142131979695431,0.36363636363636365,0.7079407806191117,0.6434101462364197,0.6126052468537677,0.024725274725274724,-0.017857142857142905,-0.03003392703215013,0.015769243240356445,-0.025621867922564934
A,front,0.1,728,2032,0.12971193869701972,0.1183580520845498,0.6277472527472527,0.5951050955939484,0.6435643564356436,0.43243243243243246,0.7093184979137691,0.6289706230163574,0.6369278619025199,0.0260989010989011,0.0027472527472527375,0.0031410544867921386,0.0013297200202941895,-0.0012992528738127174
V,front,0.1,728,2032,0.12971193869701972,0.11894762845849802,0.625,0.5921736305781788,0.645,0.4251497005988024,0.7063711911357341,0.6281596422195435,0.638516003555284,0.020604395604395604,0.0,0.0002095894710225643,0.0005187392234802246,0.00028888877895139053
TA,front,0.1,728,2032,0.12971193869701972,0.11834509300833868,0.6098901098901099,0.567142666630558,0.6142131979695431,0.38006230529595014,0.7071524966261808,0.645885169506073,0.6102607661627398,0.024725274725274724,-0.015109890109890056,-0.024821374476598268,0.018244266510009766,-0.027966348613592817
TV,front,0.1,728,2032,0.12971193869701972,0.11863085960915958,0.6085164835164835,0.5642763893620697,0.6161616161616161,0.367601246105919,0.7090663058186739,0.6451330780982971,0.6125008709650165,0.028846153846153848,-0.016483516483516536,-0.027687651745086583,0.017492175102233887,-0.025726243811316163
AV,front,0.1,728,2032,0.12971193869701972,0.11864457650519239,0.625,0.5917534186884686,0.6401985111662531,0.42771084337349397,0.7073509015256588,0.6295092701911926,0.6372343620064931,0.0260989010989011,0.0,-0.00021062241868763376,0.0018683671951293945,-0.0009927527698395666
T,front,0.3,728,5478,0.3284235928836993,0.3190076869322152,0.5961538461538461,0.5585603136226599,0.5861182519280206,0.4012158054711246,0.6883468834688347,0.6703802943229675,0.5348609967285309,0.03159340659340659,-0.028846153846153855,-0.03340372748449638,0.0427393913269043,-0.10336611804780171
A,front,0.3,728,5478,0.3284235928836993,0.3189886721943244,0.6277472527472527,0.5952299488437568,0.6419753086419753,0.43636363636363634,0.7073509015256588,0.6295164823532104,0.6344175818975507,0.0260989010989011,0.0027472527472527375,0.003265907736600515,0.0018755793571472168,-0.0038095328787819405
V,front,0.3,728,5478,0.3284235928836993,0.3205904150197628,0.6222527472527473,0.5890433914217836,0.6433915211970075,0.41916167664670656,0.7045769764216366,0.6283451914787292,0.6379038455202274,0.020604395604395604,-0.0027472527472527375,-0.002920649685372645,0.0007042884826660156,-0.000323269256105263
TA,front,0.3,728,5478,0.3284235928836993,0.31899819231442067,0.6016483516483516,0.5635038826077924,0.5918367346938775,0.4049079754601227,0.6937669376693767,0.6729481220245361,0.5305175700353654,0.03021978021978022,-0.02335164835164838,-0.028460158499363897,0.0453072190284729,-0.10770954474096728
TV,front,0.3,728,5478,0.3284235928836993,0.3197758062582424,0.5989010989010989,0.5610727747227372,0.5824742268041238,0.40978593272171254,0.6909581646423751,0.6719611883163452,0.5347105942100537,0.03159340659340659,-0.026098901098901117,-0.03089126638441908,0.04432028532028198,-0.10351652056627891
AV,front,0.3,728,5478,0.3284235928836993,0.3197670928627169,0.6236263736263736,0.5916005031319206,0.6386138613861386,0.43243243243243246,0.7037552155771906,0.6304337382316589,0.6341599124166589,0.024725274725274724,-0.0013736263736263687,-0.00036353797523569487,0.002792835235595703,-0.004067202359673727
T,front,0.5,728,8752,0.516434327252749,0.5096668996040066,0.5631868131868132,0.5313371229920422,0.5372340425531915,0.4011299435028249,0.6556473829201102,0.6949610710144043,0.48246661456104295,0.019230769230769232,-0.061813186813186816,-0.060626918115114115,0.06732016801834106,-0.1557605002152897
