modalities,position,ratio,n,masked_positions,mean_actual_ratio,newly_lost_observed_ratio,accuracy,macro_f1,f1_0,f1_1,f1_2,mae,pearson,sign_conflict,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson
T,front,0.1,728,2032,0.12971193869701972,0.11833216864663405,0.5892857142857143,0.5709254284135811,0.6263048016701461,0.4328767123287671,0.6535947712418301,0.6242167949676514,0.5998923218157544,0.028846153846153848,-0.01098901098901095,-0.015381803744060951,0.007029533386230469,-0.014152867971966798
A,front,0.1,728,2032,0.12971193869701972,0.1183580520845498,0.5989010989010989,0.5902735182646109,0.6403508771929824,0.4841075794621027,0.6463620981387479,0.6176615953445435,0.612397651526398,0.027472527472527472,-0.0013736263736263687,0.003966286106968919,0.0004743337631225586,-0.0016475382613231337
V,front,0.1,728,2032,0.12971193869701972,0.11894762845849802,0.6016483516483516,0.5899470848031744,0.6433260393873085,0.4708860759493671,0.6556291390728477,0.6145011186599731,0.6124159544372585,0.038461538461538464,0.0013736263736263687,0.0036398526455323488,-0.002686142921447754,-0.0016292353504626655
TA,front,0.1,728,2032,0.12971193869701972,0.11834509300833868,0.5824175824175825,0.5650430100898624,0.6224066390041494,0.42702702702702705,0.6456953642384106,0.625923752784729,0.5988083231232382,0.027472527472527472,-0.017857142857142794,-0.02126422206777967,0.008736491203308105,-0.015236866664482984
TV,front,0.1,728,2032,0.12971193869701972,0.11863085960915958,0.5961538461538461,0.5780333089589752,0.6239316239316239,0.44565217391304346,0.6645161290322581,0.6230183839797974,0.5997136526293484,0.02197802197802198,-0.004120879120879106,-0.008273923198666822,0.005831122398376465,-0.014331537158372765
AV,front,0.1,728,2032,0.12971193869701972,0.11864457650519239,0.5989010989010989,0.5929648533991955,0.6442953020134228,0.49528301886792453,0.6393162393162393,0.6141950488090515,0.6101268485479793,0.027472527472527472,-0.0013736263736263687,0.006657621241553446,-0.0029922127723693848,-0.003918341239741885
T,front,0.3,728,5478,0.3284235928836993,0.3190076869322152,0.5769230769230769,0.5600174202002851,0.5970149253731343,0.43902439024390244,0.6440129449838188,0.6574867963790894,0.53410960453402,0.04120879120879121,-0.02335164835164838,-0.026289811957356912,0.04029953479766846,-0.07993558525370115
A,front,0.3,728,5478,0.3284235928836993,0.3189886721943244,0.5851648351648352,0.5781091780561268,0.6391304347826087,0.4688995215311005,0.6262975778546713,0.621286153793335,0.6110980623096275,0.028846153846153848,-0.015109890109890056,-0.008198054101515195,0.0040988922119140625,-0.0029471274780936696
V,front,0.3,728,5478,0.3284235928836993,0.3205904150197628,0.6057692307692307,0.5941923252192335,0.6396396396396397,0.4740740740740741,0.6688632619439868,0.6147931814193726,0.6104123747401395,0.03296703296703297,0.005494505494505475,0.007885093061591464,-0.00239408016204834,-0.0036328150475816168
TA,front,0.3,728,5478,0.3284235928836993,0.31899819231442067,0.5769230769230769,0.5653109184458494,0.5986984815618221,0.45843828715365237,0.6387959866220736,0.6619582772254944,0.5294960806598371,0.03021978021978022,-0.02335164835164838,-0.02099631371179267,0.044771015644073486,-0.08454910912788405
TV,front,0.3,728,5478,0.3284235928836993,0.3197758062582424,0.5659340659340659,0.5495732002700949,0.589041095890411,0.42744063324538256,0.6322378716744914,0.6610627174377441,0.5266252906736388,0.046703296703296704,-0.03434065934065933,-0.03673403188754709,0.04387545585632324,-0.08741989911408232
AV,front,0.3,728,5478,0.3284235928836993,0.3197670928627169,0.6002747252747253,0.5949311015697026,0.65625,0.48951048951048953,0.6390328151986183,0.6181515455245972,0.6053744115398088,0.04120879120879121,0.0,0.008623869412060614,0.0009642839431762695,-0.008670778247912403
T,front,0.5,728,8752,0.516434327252749,0.5096668996040066,0.5425824175824175,0.5218813164933854,0.5580357142857143,0.3837837837837838,0.6238244514106583,0.6973143219947815,0.45877540971583813,0.03021978021978022,-0.05769230769230771,-0.0644259156642566,0.0801270604133606,-0.15526978007188302
A,front,0.5,728,8752,0.516434327252749,0.5096344738993344,0.5906593406593407,0.584708215115416,0.6436285097192225,0.4857142857142857,0.62478184991274,0.6267812252044678,0.6088404505348786,0.027472527472527472,-0.009615384615384581,-0.0015990170422259808,0.009593963623046875,-0.005204739252842594
V,front,0.5,728,8752,0.516434327252749,0.5119194664031621,0.603021978021978,0.5927879661220544,0.639269406392694,0.47572815533980584,0.6633663366336634,0.6162416338920593,0.60940425138919,0.03021978021978022,0.0027472527472527375,0.0064807339644124,-0.0009456276893615723,-0.004640938398531191
TA,front,0.5,728,8752,0.516434327252749,0.5096507084961223,0.5274725274725275,0.5198375387965101,0.5538461538461539,0.41784037558685444,0.5878260869565217,0.7082517743110657,0.4541003821840959,0.04120879120879121,-0.07280219780219777,-0.06646969336113195,0.09106451272964478,-0.15994480760362528
TV,front,0.5,728,8752,0.516434327252749,0.5107601007073492,0.5247252747252747,0.5031020483763274,0.5138539042821159,0.38144329896907214,0.6140089418777943,0.7157734632492065,0.43179558711212795,0.03571428571428571,-0.0755494505494505,-0.08320518378131458,0.09858620166778564,-0.1822496026755932
AV,front,0.5,728,8752,0.516434327252749,0.5107449426736299,0.5906593406593407,0.5855462227456543,0.6438356164383562,0.47706422018348627,0.6357388316151202,0.6236975789070129,0.5993451556606555,0.03296703296703297,-0.009615384615384581,-0.0007610094119877564,0.006510317325592041,-0.014700034127065664
T,middle,0.1,728,2032,0.12971193869701972,0.11833216864663405,0.5975274725274725,0.575980492705125,0.6206896551724138,0.43213296398891965,0.6751188589540412,0.6289635896682739,0.591909910867537,0.03159340659340659,-0.0027472527472527375,-0.010326739452517053,0.011776328086853027,-0.022135278920184187
A,middle,0.1,728,2032,0.12971193869701972,0.1183580520845498,0.5906593406593407,0.5785227990921031,0.6393088552915767,0.4529262086513995,0.6433333333333333,0.6180935502052307,0.6152495618584437,0.03021978021978022,-0.009615384615384581,-0.007784433065538887,0.0009062886238098145,0.001204372070722548
V,middle,0.1,728,2032,0.12971193869701972,0.11863883399209486,0.6002747252747253,0.5866755776197413,0.6433260393873085,0.4587628865979381,0.6579378068739771,0.6158316731452942,0.6144734245181199,0.034340659340659344,0.0,0.0003683454620992954,-0.001355588436126709,0.0004282347303987688
TA,middle,0.1,728,2032,0.12971193869701972,0.11834509300833868,0.5934065934065934,0.5736468116696879,0.630901287553648,0.4297520661157025,0.6602870813397129,0.628045380115509,0.5934977370472359,0.03021978021978022,-0.006868131868131844,-0.012660420487954127,0.010858118534088135,-0.020547452740485306
TV,middle,0.1,728,2032,0.12971193869701972,0.11848099748231627,0.5892857142857143,0.5685823611072038,0.6200873362445415,0.42424242424242425,0.6614173228346457,0.62910395860672,0.5894263199993789,0.038461538461538464,-0.01098901098901095,-0.017724871050438185,0.011916697025299072,-0.024618869788342268
AV,middle,0.1,728,2032,0.12971193869701972,0.11849450747343779,0.603021978021978,0.5909699875033801,0.6479481641468683,0.46938775510204084,0.6555740432612313,0.6144996285438538,0.6160947516559322,0.03296703296703297,0.0027472527472527375,0.004662755345738123,-0.0026876330375671387,0.002049561868211036
T,middle,0.3,728,5478,0.3284235928836993,0.3190076869322152,0.5837912087912088,0.5662655129657953,0.6136865342163356,0.4343163538873995,0.6507936507936508,0.6490969061851501,0.541671491203289,0.03021978021978022,-0.016483516483516425,-0.02004171919184672,0.03190964460372925,-0.07237369858443221
