epoch,fallback_clean,effective_rows,group_T,group_A,group_V,group_TA,group_TV,group_AV,text_newly_lost,text_newly_lost_ratio,audio_newly_lost,audio_newly_lost_ratio,vision_newly_lost,vision_newly_lost_ratio
1,0,3395,1346,0,1199,0,850,0,15860,0.20629015894487657,0,0.0,14199,0.1954896534633018
2,0,3395,1323,0,1194,0,878,0,15955,0.2075258187872324,0,0.0,14288,0.1967149918081313
3,0,3395,1270,0,1212,0,913,0,15638,0.20340261699747667,0,0.0,14430,0.19867002602123002
4,0,3395,1323,0,1202,0,870,0,16115,0.20960693010067377,0,0.0,14382,0.19800916938581636
5,0,3395,1288,0,1228,0,879,0,15187,0.19753648448271377,0,0.0,14595,0.20094172070546445
6,0,3395,1317,0,1205,0,873,0,15689,0.2040659712286361,0,0.0,14403,0.19829829416380984
7,0,3395,1310,0,1193,0,892,0,15591,0.20279129054915324,0,0.0,14479,0.1993446505032148
8,0,3395,1354,0,1194,0,847,0,15603,0.20294737389766135,0,0.0,13937,0.19188247766166894
9,0,3395,1311,0,1197,0,887,0,16085,0.2092167217294035,0,0.0,14658,0.20180909503944489
10,0,3395,1321,0,1239,0,835,0,15649,0.20354569340027576,0,0.0,14464,0.19913813280464804
11,0,3395,1293,0,1246,0,856,0,15377,0.20000780416742542,0,0.0,14625,0.20135475610259798
12,0,3395,1291,0,1207,0,897,0,15526,0.20194583907806768,0,0.0,14590,0.20087288147260887
13,0,3395,1322,0,1212,0,861,0,15985,0.20791602715850263,0,0.0,14461,0.19909682926493466
14,0,3395,1289,0,1228,0,878,0,15376,0.1999947972217164,0,0.0,14512,0.1997989894400617
15,0,3395,1282,0,1251,0,862,0,15336,0.19947451939335606,0,0.0,14507,0.19973015020720608
16,0,3395,1318,0,1206,0,871,0,15501,0.20162066543534246,0,0.0,14188,0.19533820715101952
17,0,3395,1286,0,1231,0,878,0,15033,0.19553341484352643,0,0.0,14641,0.20157504164773588
18,0,3395,1296,0,1224,0,875,0,15173,0.19735438724278764,0,0.0,14528,0.20001927498519956
19,0,3395,1296,0,1245,0,854,0,15538,0.2021019224265758,0,0.0,14783,0.2035300758608346
20,0,3395,1324,0,1204,0,867,0,15735,0.20466429073125048,0,0.0,14033,0.19320419093249624
21,1,3394,1381,0,1153,0,860,0,16552,0.2152909653755105,0,0.0,14031,0.193176655239354
22,0,3395,1297,0,1215,0,883,0,15446,0.200905283421347,0,0.0,14550,0.20032216760976415
23,0,3395,1275,0,1245,0,875,0,15324,0.19931843604484795,0,0.0,14613,0.20118954194374458
24,0,3395,1296,0,1200,0,899,0,15930,0.20720064514450717,0,0.0,14708,0.20249748736800077
25,0,3395,1335,0,1169,0,891,0,16409,0.2134309721391223,0,0.0,14351,0.19758236614211172
26,0,3395,1361,0,1169,0,865,0,15886,0.20662833953331078,0,0.0,14236,0.19599906378643317
27,0,3395,1286,0,1217,0,892,0,15092,0.19630082464035795,0,0.0,14278,0.19657731334242012
28,0,3395,1273,0,1241,0,881,0,15349,0.19964360968757316,0,0.0,14320,0.19715556289840705
29,0,3395,1286,0,1242,0,867,0,15281,0.19875913737936057,0,0.0,14610,0.20114823840403123
30,0,3395,1311,0,1229,0,855,0,15382,0.20007283889597044,0,0.0,14221,0.1957925460878664
