epoch,train_loss,train_class_loss,train_reg_loss,selection_J,best_epoch,clean_accuracy,clean_macro_f1,clean_mae,clean_pearson,masked_accuracy,masked_macro_f1,masked_mae,masked_pearson,elapsed_seconds
1,2.691948593452858,1.9440456664614896,0.747902946667924,0.7682561009790407,1,0.5934065934065934,0.4604440085544672,0.6583377122879028,0.6178255244106843,0.58254477004477,0.45339157426775617,0.6741972311779305,0.5852969308675811,3.1499966000010318
2,2.330240468108075,1.6889128692020197,0.6413275798044781,0.6552151777201829,2,0.6167582417582418,0.5610543514636115,0.6015680432319641,0.6315943357507836,0.6046499796499797,0.5468173844179094,0.6218445345207497,0.5953060494967318,5.990788200000679
3,2.174646695056966,1.5832079500442753,0.591438741080013,0.6332969753278795,3,0.5796703296703297,0.5772688861583808,0.5967944860458374,0.6305019051813059,0.5740740740740742,0.5683861493951657,0.6166837403067836,0.5944890765218863,8.822347000001173
4,2.0916300971659014,1.5301054312659643,0.5615246529782819,0.626375990104372,4,0.625,0.5979109875437365,0.6090220212936401,0.6404606719968072,0.6043192918192918,0.5750263448640859,0.6254866421222687,0.6036170951392051,11.67327060000025
5,2.042462001247153,1.4936253803994763,0.5488366163005183,0.6308589966404587,4,0.5947802197802198,0.5941984627348154,0.6256008744239807,0.6235365513136132,0.5780168905168904,0.5756938481389331,0.636182368905456,0.5846656497700308,14.464651400001458
6,1.9720214686442896,1.4497036571530777,0.5223178103478386,0.6321347442226376,4,0.6318681318681318,0.6012065714909195,0.6260839700698853,0.6395587751637247,0.6089997964997965,0.5740211886120962,0.6431144575277964,0.6008330985738262,17.300246499999048
7,1.892621568657337,1.3959734441254381,0.4966481328800606,0.621807736699423,7,0.6277472527472527,0.6106481001327299,0.6166862845420837,0.628331097097899,0.6018518518518519,0.5820380551358085,0.6384311174904859,0.5898687716326552,20.178861399999732
8,1.8221025436019336,1.341217118440215,0.48088542403809625,0.6639131292983548,7,0.6195054945054945,0.5866816651056869,0.6780593395233154,0.6201911197213393,0.5973494098494099,0.5574642277377493,0.6887070856712483,0.5824792774666053,23.029962600001454
9,1.818903439526003,1.3166687573178704,0.5022346850171883,0.6470322727621428,7,0.6208791208791209,0.5867104929441722,0.6394003629684448,0.6184534517630202,0.6008089133089134,0.5649635636645315,0.6565968206635228,0.5784396845549796,25.899662299998454
10,1.7353153438034394,1.2649607004227448,0.47035464560160406,0.6452412377911658,7,0.6222527472527473,0.5907284567016657,0.6475616097450256,0.6130176806777403,0.6002492877492877,0.5671383742065808,0.657254660571063,0.5765390576777429,28.650389800000994
11,1.605264374644486,1.1778289188165902,0.4274354649222125,0.6604306815222735,7,0.5975274725274725,0.5737320216533736,0.6655502915382385,0.5984601891086259,0.5833078958078958,0.5584033045432274,0.6688145641927365,0.5646002279937935,31.40662069999962
