candidate,seeds,parameter_count,mean_selection_J,sd_selection_J,mean_clean_accuracy,sd_clean_accuracy,mean_clean_macro_f1,sd_clean_macro_f1,mean_clean_neutral_f1,sd_clean_neutral_f1,mean_clean_mae,sd_clean_mae,mean_clean_pearson,sd_clean_pearson,mean_masked_accuracy,sd_masked_accuracy,mean_masked_macro_f1,sd_masked_macro_f1,mean_masked_mae,sd_masked_mae,mean_masked_pearson,sd_masked_pearson
TV_old,3,130180,0.6096911237230997,0.009290053485205512,0.6373626373626373,0.00475838133947492,0.6158443691725431,0.0008089029785648532,0.47582647777725806,0.01669203739000914,0.59886101881663,0.021288791145344182,0.630705940251554,0.011054297771409134,0.6118572785239452,0.002526054291326289,0.5884219505309798,0.005184496502044627,0.6202543760523384,0.01662221518191898,0.5921421696162692,0.010964596965022663
TV_effective,3,130180,0.615035681345962,0.008152994152067848,0.6254578754578755,0.0052004655181321,0.6101357640226995,0.007446254839383048,0.4836312688414309,0.018012736101651824,0.6025892893473307,0.012259470703624152,0.6303696720604629,0.00314812286764423,0.6030219780219781,0.0035073357484014266,0.5845323359154095,0.0051086616344045675,0.6230124007036657,0.013387455128733327,0.5938403756949655,0.003817382377714274
TV_clean,3,130180,0.6136144578414424,0.008179835977630454,0.6382783882783883,0.00804871603994827,0.614014973255231,0.013260087649943686,0.46173807395181443,0.05381593049470039,0.6064075827598572,0.004280606547447338,0.6379812215518521,0.003587504485590167,0.6068884818884819,0.00783991797098969,0.5854801080125256,0.006461786131190173,0.6227772677386249,0.0012261024157801258,0.6001667187203373,0.005610232695046886
TAV_MLP,3,130180,0.6200046784939569,0.0034264569969301726,0.6227106227106227,0.004196497889153685,0.6044063655905136,0.005127331534735693,0.47160188263167413,0.02316284983531783,0.5992341637611389,0.01451837227178565,0.624371216398987,0.013592863315731715,0.598256681590015,0.008745121336934432,0.5791931997474238,0.0013380534084369885,0.6222599575548996,0.010524979792309805,0.585007647533279,0.01372188548411839
B_early,3,385925,0.6262698211743853,0.003622002024968653,0.6295787545787546,0.0044155910077806415,0.6040726767571775,0.010208920950286741,0.4444475147208511,0.03148283276392511,0.6075214942296346,0.008854822933988937,0.6468661682119454,0.00989434404173781,0.6002238502238503,0.005331392207932314,0.5758415417008662,0.006080743746941429,0.6341694218141061,0.01082191422552405,0.594642606262382,0.01214360352057267
C_concat,3,352100,0.6285614651184004,0.004478180338924589,0.6364468864468864,0.003456883898933481,0.6055358484538468,0.0075290764082994845,0.44455655038884073,0.02312362853040972,0.6324476599693298,0.01728062804146009,0.6323894674852595,0.01529359421754824,0.6088047754714422,0.00399104424955481,0.5792844393897157,0.006306885458908016,0.646819140440152,0.015121688325948348,0.5892307961656713,0.011128460472183502
C_concat_lr,3,352100,0.6140835584927714,0.005408082483765323,0.635989010989011,0.009905360646879118,0.6163853761610218,0.008784037579607749,0.479613331193394,0.014657027637604602,0.6129231850306193,0.012180773626286376,0.6308914724207974,0.002625374640218832,0.6095339845339846,0.008346416090497832,0.5888716542582466,0.008751609116664696,0.6350268445633076,0.010700358334661415,0.589086317214843,0.0016078170271734966
