candidate,seed,best_epoch,parameter_count,selection_J,clean_neutral_f1,clean_accuracy,clean_macro_f1,clean_mae,clean_pearson,masked_accuracy,masked_macro_f1,masked_mae,masked_pearson
TV_old,20260923,3,130180,0.6049342818389651,0.46647230320699706,0.6401098901098901,0.614910526172058,0.5827895998954773,0.6416180216146703,0.6146723646723647,0.5890690728377866,0.6075916720761193,0.6019304180331908
TV_old,20260924,10,130180,0.6203962748292222,0.4659090909090909,0.6401098901098901,0.6163279329852678,0.6230055689811707,0.6195147134821232,0.6097883597883597,0.5829442717499181,0.6390773245581874,0.5802935482080205
TV_old,20260925,3,130180,0.6037428145011119,0.4950980392156863,0.6318681318681318,0.6162946483603037,0.5907878875732422,0.6309850856578687,0.6111111111111112,0.5932525070052347,0.6140941315227084,0.5942025426075963
TV_effective,20260923,7,130180,0.6059861067804967,0.5012406947890818,0.6291208791208791,0.6173126199092444,0.594422459602356,0.6339954584735095,0.6069647944647946,0.5904089845122685,0.6143431807005847,0.5974821303513076
TV_effective,20260924,7,130180,0.621807736699423,0.46524064171123,0.6277472527472527,0.6106481001327299,0.6166862845420837,0.628331097097899,0.6018518518518519,0.5820380551358085,0.6384311174904859,0.5898687716326552
TV_effective,20260925,3,130180,0.6173132005579662,0.4844124700239808,0.6195054945054945,0.6024465720261243,0.5966591238975525,0.6287824606099801,0.6002492877492879,0.5811499680981516,0.6162629039199264,0.5941702251009339
TV_clean,20260923,3,130180,0.622770568591877,0.4,0.6414835164835165,0.5994478423377506,0.609271228313446,0.6421107551489909,0.6139346764346764,0.5781606658692185,0.6219217048750983,0.6051628955992298
TV_clean,20260924,4,130180,0.6110448704309361,0.49872773536895676,0.6291208791208791,0.617214552045417,0.608464777469635,0.6362000083402933,0.5984432234432234,0.5878852355092206,0.6222281478069447,0.6012398168258211
TV_clean,20260925,5,130180,0.6070279345015142,0.4864864864864865,0.6442307692307693,0.6253825253825255,0.6014867424964905,0.6356329011662722,0.6082875457875458,0.5903944226591377,0.6241819505338315,0.5940974437359612
TAV_MLP,20260923,3,130180,0.6163950673438907,0.45325779036827196,0.6236263736263736,0.5995732452767392,0.5834478139877319,0.6398034577598173,0.6023351648351649,0.5800591943521687,0.6108484930462308,0.5994098891313407
TAV_MLP,20260924,5,130180,0.6232125656991171,0.4976303317535545,0.6181318681318682,0.609784384795156,0.6120136976242065,0.6141751001427747,0.5882173382173383,0.5776520837996688,0.6315863331158956,0.5720862366233749
TAV_MLP,20260925,3,130180,0.6204064024388629,0.4639175257731959,0.6263736263736264,0.6038614666996457,0.6022409796714783,0.6191350912943689,0.6042175417175416,0.5798683210904338,0.6243450465025725,0.5835268168451216
B_early,20260923,3,385925,0.6223900586073643,0.4743276283618582,0.6263736263736264,0.612645530937724,0.6150785088539124,0.6362708813040795,0.5981634106634108,0.5823616455702987,0.6442645324601067,0.5823839405920977
B_early,20260924,5,385925,0.6295622853524105,0.4115755627009646,0.6346153846153846,0.5927789894770356,0.5977783799171448,0.6558655633487005,0.6062779812779814,0.5703250260139868,0.6227437489562564,0.6066677802973031
B_early,20260925,8,385925,0.6268571195633812,0.4474393530997305,0.6277472527472527,0.6067935098567728,0.6097075939178467,0.6484620599830562,0.5962301587301587,0.5748379535183132,0.6354999840259552,0.5948760978977452
C_concat,20260923,3,352100,0.6234754424844489,0.4649859943977591,0.635989010989011,0.6094312873899815,0.6307734251022339,0.6147527347391376,0.6083129833129832,0.5827699070994724,0.6413849702587834,0.5764001639277677
C_concat,20260924,3,352100,0.6319127953533352,0.4194528875379939,0.6332417582417582,0.5968571440516746,0.6160650849342346,0.6419845369048114,0.6050824175824177,0.5720040670196427,0.6351654982125318,0.5950347288020997
C_concat,20260925,4,352100,0.630296157517417,0.4492307692307692,0.6401098901098901,0.6103191139198841,0.650504469871521,0.6404311308118296,0.6130189255189256,0.5830793440500321,0.6639069528491409,0.5962574957671465
C_concat_lr,20260923,5,352100,0.6202292196240317,0.4656084656084656,0.6277472527472527,0.6068884866699075,0.6024968028068542,0.6297359424290221,0.6027930402930404,0.5796414815434447,0.6258975421940839,0.5878351654911859
C_concat_lr,20260924,7,352100,0.6119701512414278,0.4948453608247423,0.6332417582417582,0.6180489977843996,0.6099608540534973,0.6338964075446498,0.606939356939357,0.5899239333135214,0.6323811180061765,0.5908997651725477
C_concat_lr,20260925,4,352100,0.6100513046128546,0.4783861671469741,0.646978021978022,0.6242186440287584,0.6263118982315063,0.62904206728872,0.6188695563695563,0.5970495479177738,0.6468018734896624,0.5885240209807951
