epoch,train_loss,train_class_loss,train_reg_loss,train_consistency_loss,train_auxiliary_loss,selection_J,best_epoch,clean_accuracy,clean_macro_f1,clean_mae,clean_pearson,masked_accuracy,masked_macro_f1,masked_mae,masked_pearson,elapsed_seconds
1,3.017264674584188,2.050838412662669,0.8070248976722908,0.0,1.5940136510598992,0.7800791682843597,1,0.5782967032967034,0.43672109554462496,0.6439794898033142,0.5892731250395661,0.5740995115995117,0.43832530794018604,0.6573538625681842,0.5610599366900858,4.315706300003512
2,2.525866436993426,1.737498681991195,0.6440373497613224,0.0,1.4433039258962528,0.6662360564282416,2,0.6153846153846154,0.5593061417497356,0.6253698468208313,0.6427467381819926,0.5934065934065934,0.54148325836877,0.6402435269620683,0.6060725524888627,7.678477200002817
3,2.357393835482787,1.6270290696392706,0.5913207332849152,0.0,1.3904405279960126,0.6564925066737327,3,0.6263736263736264,0.5649985591497272,0.6189274787902832,0.6485957295754397,0.6072700447700448,0.551922251945572,0.6404261820846133,0.6080708081622186,10.990808700000343
4,2.195096625776108,1.5214871232393739,0.5375124549128346,0.0,1.3609705385649151,0.6236320504710351,4,0.6098901098901099,0.5959639830508475,0.6001369953155518,0.6480313713242719,0.5912444037444038,0.5780485914886082,0.6245922942956289,0.6073994331749212,14.279712700001255
5,2.1157120533298497,1.4641967813115409,0.5168393093988365,0.0,1.3467596370095885,0.6295689799763585,4,0.6043956043956044,0.5984233500728416,0.6156090497970581,0.6432228122499889,0.5812728937728937,0.5738130199279079,0.6329353131629802,0.6046357253201828,17.63636360000237
6,2.0505994250040516,1.4196015682417094,0.49834661863426044,0.0,1.326512489543572,0.6492528281301176,4,0.6291208791208791,0.5840868227507692,0.6520121693611145,0.6504033201650234,0.6118996743996744,0.5671496925667805,0.6652098231845431,0.6108993711133738,20.93653639999684
7,1.9176300890842488,1.3348027671735312,0.4519441575206959,0.0,1.3088315487610223,0.6168027897290694,7,0.6236263736263736,0.6087684053037868,0.589049220085144,0.6623293112030159,0.5958740333740334,0.5786626580808935,0.6156177984343635,0.6181483643743639,24.279663100001926
8,1.84371878071983,1.279096326982501,0.4350116614740622,0.0,1.2961081081356671,0.6249752393005484,7,0.6195054945054945,0.6004371385176338,0.5970885157585144,0.6477647257148103,0.5925925925925926,0.5730028197111569,0.6203170496004599,0.6041498617629536,27.639539700001478
9,1.731141502920412,1.1934746676323515,0.40953343517650387,0.0,1.2813341663933644,0.6453781642331087,7,0.6057692307692307,0.5881559511538871,0.6152665019035339,0.6314517552775041,0.5744810744810744,0.5575433462272041,0.6372098128000895,0.582189879268035,30.94578310000361
10,1.5730006776958572,1.0732305701070401,0.37392559840463224,0.0,1.2584450856224252,0.6588677228942723,7,0.6112637362637363,0.5745534924845269,0.6295198202133179,0.6355381929320586,0.583511396011396,0.5487926401252697,0.6465623643663194,0.5886254688709784,34.24755140000343
