modalities,position,ratio,n,masked_positions,mean_actual_ratio,newly_lost_observed_ratio,unobservable_positions,accuracy,macro_f1,f1_0,f1_1,f1_2,mae,pearson,sign_conflict,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson
T,front,0.1,728,2032,0.12971193869701972,0.11833216864663405,5,0.5892857142857143,0.5586485199388426,0.6236559139784946,0.375366568914956,0.676923076923077,0.6112647652626038,0.6238453977918157,0.03021978021978022,-0.013736263736263687,-0.0192777548507157,0.022939324378967285,-0.02884854204600429
A,front,0.1,728,2032,0.12971193869701972,0.1183580520845498,0,0.6112637362637363,0.58571358761476,0.6447368421052632,0.42528735632183906,0.6871165644171779,0.5882945656776428,0.6534495275916105,0.020604395604395604,0.008241758241758323,0.007787312825201731,-3.0875205993652344e-05,0.0007555877537904765
V,front,0.1,728,2032,0.12971193869701972,0.11894762845849802,0,0.6002747252747253,0.5737709299959087,0.6405228758169934,0.4069767441860465,0.6738131699846861,0.586885392665863,0.6542259237397781,0.019230769230769232,-0.0027472527472527375,-0.00415534479364954,-0.0014400482177734375,0.0015319839019580783
TA,front,0.1,728,2032,0.12971193869701972,0.11834509300833868,106,0.5934065934065934,0.5641077681084811,0.6206896551724138,0.38953488372093026,0.6820987654320988,0.61075758934021,0.6245598475241262,0.027472527472527472,-0.009615384615384581,-0.013818506681077203,0.022432148456573486,-0.028134092313693793
TV,front,0.1,728,2032,0.12971193869701972,0.11863085960915958,5,0.5934065934065934,0.5610334742487506,0.6263498920086393,0.3727810650887574,0.683969465648855,0.6108546853065491,0.6241518054452251,0.028846153846153848,-0.009615384615384581,-0.016892800540807662,0.022529244422912598,-0.028542134392594898
AV,front,0.1,728,2032,0.12971193869701972,0.11864457650519239,0,0.6071428571428571,0.5795107489977219,0.644880174291939,0.4117647058823529,0.6818873668188736,0.5871990919113159,0.6547841784612358,0.020604395604395604,0.004120879120879106,0.0015844742081636554,-0.0011263489723205566,0.002090238623415841
T,front,0.3,728,5478,0.3284235928836993,0.3190076869322152,15,0.5714285714285714,0.5325569784546121,0.5720524017467249,0.3510971786833856,0.6745213549337261,0.6465629935264587,0.5355844248525805,0.03983516483516483,-0.03159340659340659,-0.04536929633494613,0.058237552642822266,-0.11710951498523947
A,front,0.3,728,5478,0.3284235928836993,0.3189886721943244,0,0.6112637362637363,0.5854312571207619,0.6478260869565218,0.42441860465116277,0.6840490797546013,0.5888676643371582,0.6515183347663995,0.020604395604395604,0.008241758241758323,0.007504982331203669,0.0005422234535217285,-0.0011756050714204491
V,front,0.3,728,5478,0.3284235928836993,0.3205904150197628,0,0.5989010989010989,0.5728229605591934,0.6419213973799127,0.4057971014492754,0.6707503828483921,0.5876759886741638,0.6534154803129767,0.020604395604395604,-0.004120879120879106,-0.005103314230364919,-0.0006494522094726562,0.0007215404751567123
TA,front,0.3,728,5478,0.3284235928836993,0.31899819231442067,287,0.5837912087912088,0.5478173184681377,0.5807860262008734,0.38125,0.6814159292035398,0.6466389894485474,0.5343520300726231,0.03571428571428571,-0.019230769230769162,-0.03010895632142052,0.05831354856491089,-0.11834190976519687
TV,front,0.3,728,5478,0.3284235928836993,0.3197758062582424,15,0.5755494505494505,0.5326675098223316,0.5838779956427015,0.33876221498371334,0.6753623188405797,0.6475954055786133,0.534028077041167,0.04395604395604396,-0.027472527472527486,-0.045258764967226695,0.05926996469497681,-0.11866586279665303
AV,front,0.3,728,5478,0.3284235928836993,0.3197670928627169,0,0.6126373626373627,0.5850155399998308,0.6492374727668845,0.41887905604719766,0.6869300911854104,0.5887550115585327,0.6518179742204218,0.01510989010989011,0.009615384615384692,0.007089265210272533,0.00042957067489624023,-0.0008759656173982222
T,front,0.5,728,8752,0.516434327252749,0.5096668996040066,24,0.5659340659340659,0.5252860219632881,0.5746102449888641,0.33650793650793653,0.6647398843930635,0.6644178628921509,0.510886944141433,0.03708791208791209,-0.03708791208791207,-0.05264025282627016,0.0760924220085144,-0.141806995696387
A,front,0.5,728,8752,0.516434327252749,0.5096344738993344,0,0.6057692307692307,0.5800664208589762,0.6436285097192225,0.4186046511627907,0.6779661016949152,0.5909130573272705,0.6517790523875485,0.02197802197802198,0.0027472527472527375,0.0021401460694179253,0.002587616443634033,-0.0009148874502714621
V,front,0.5,728,8752,0.516434327252749,0.5119194664031621,0,0.6085164835164835,0.5814882507702541,0.6436285097192225,0.41887905604719766,0.6819571865443425,0.5899114608764648,0.6518849818958652,0.027472527472527472,0.005494505494505475,0.003561975980695853,0.0015860199928283691,-0.000808957941954791
TA,front,0.5,728,8752,0.516434327252749,0.5096507084961223,463,0.5714285714285714,0.5349730750949496,0.57847533632287,0.36363636363636365,0.662807525325615,0.6660471558570862,0.5099451762303976,0.03983516483516483,-0.03159340659340659,-0.042953199694608646,0.07772171497344971,-0.1427487636074224
TV,front,0.5,728,8752,0.516434327252749,0.5107601007073492,24,0.5576923076923077,0.5133595779831652,0.5740318906605922,0.3106796116504854,0.655367231638418,0.6700788140296936,0.5078461353549588,0.03571428571428571,-0.04532967032967028,-0.06456669680639304,0.08175337314605713,-0.14484780448286116
AV,front,0.5,728,8752,0.516434327252749,0.5107449426736299,0,0.603021978021978,0.5757024747220826,0.6452991452991453,0.40588235294117647,0.6759259259259259,0.5920440554618835,0.6510608235295797,0.02197802197802198,0.0,-0.0022238000674756897,0.0037186145782470703,-0.0016331163082402567
T,middle,0.1,728,2032,0.12971193869701972,0.11833216864663405,5,0.5865384615384616,0.555039999968766,0.6086956521739131,0.3775811209439528,0.6788432267884322,0.6072264313697815,0.6211699994559703,0.027472527472527472,-0.016483516483516425,-0.022886274820792307,0.01890099048614502,-0.03152394038184969
A,middle,0.1,728,2032,0.12971193869701972,0.1183580520845498,0,0.6085164835164835,0.583090095552277,0.6477024070021882,0.41954022988505746,0.6820276497695853,0.5880123972892761,0.652833113842184,0.024725274725274724,0.005494505494505475,0.005163820762718707,-0.00031304359436035156,0.00013917400436402882
V,middle,0.1,728,2032,0.12971193869701972,0.11863883399209486,0,0.6057692307692307,0.5808641400614746,0.6462882096069869,0.4183381088825215,0.6779661016949152,0.5877052545547485,0.6524871345526618,0.020604395604395604,0.0027472527472527375,0.0029378652719163068,-0.0006201863288879395,-0.00020680528515815144
TA,middle,0.1,728,2032,0.12971193869701972,0.11834509300833868,111,0.5865384615384616,0.5561536794157281,0.612691466083151,0.37790697674418605,0.6778625954198473,0.6066193580627441,0.6220216766947636,0.028846153846153848,-0.016483516483516425,-0.02177259537383014,0.018293917179107666,-0.030672263143056377
