candidate,missing_group,scenario_seed_rows,mean_accuracy,mean_macro_f1,mean_mae,mean_pearson
A_T,A,27,0.6277472527472527,0.6099013210527116,0.5936827659606934,0.6352101246962542
A_T,AV,27,0.6277472527472527,0.6099013210527116,0.5936827659606934,0.6352101246962542
A_T,T,27,0.5825702075702076,0.5591444892413143,0.6411233522273876,0.5566494738101293
A_T,TA,27,0.5825702075702076,0.5591444892413143,0.6411233522273876,0.5566494738101293
A_T,TV,27,0.5825702075702076,0.5591444892413143,0.6411233522273876,0.5566494738101293
A_T,V,27,0.6277472527472527,0.6099013210527116,0.5936827659606934,0.6352101246962542
A_T,text_available,81,0.6277472527472527,0.6099013210527116,0.5936827659606934,0.6352101246962542
A_T,text_missing,81,0.5825702075702076,0.5591444892413143,0.6411233522273876,0.5566494738101293
A_TA,A,27,0.6193019943019943,0.6035902478249849,0.5979789981135616,0.6265247223231764
A_TA,AV,27,0.6193019943019943,0.6035902478249849,0.5979789981135616,0.6265247223231764
A_TA,T,27,0.5748371998371998,0.5550578772416512,0.6479249839429502,0.5485647088847783
A_TA,TA,27,0.5745319495319495,0.5543131474047989,0.6490023776336953,0.5472390860987353
A_TA,TV,27,0.5748371998371998,0.5550578772416512,0.6479249839429502,0.5485647088847783
A_TA,V,27,0.6204212454212454,0.6051512180760538,0.5973978439966837,0.6276288274623614
A_TA,text_available,81,0.6196750780084114,0.6041105712420078,0.5977852800746023,0.6268927573695714
A_TA,text_missing,81,0.5747354497354498,0.5548096339627004,0.6482841151731985,0.5481228346227639
A_TAV,A,27,0.6212861212861213,0.6028435238177786,0.6000646198237384,0.6234159608186074
A_TAV,AV,27,0.6213878713878714,0.6026929155197371,0.6000046067767673,0.6233192020908513
A_TAV,T,27,0.5763125763125763,0.5573794250649002,0.644415314550753,0.5470184455337442
A_TAV,TA,27,0.5744810744810744,0.5550544487024698,0.6457662339563723,0.5452605916121468
A_TAV,TV,27,0.5744810744810744,0.5541089097913469,0.644248730606503,0.5467566059987338
A_TAV,V,27,0.6215913715913716,0.6030799755883098,0.5990602396152638,0.6242750791455909
A_TAV,text_available,81,0.6214217880884547,0.6028721383086085,0.5997098220719231,0.6236700806850165
A_TAV,text_missing,81,0.575091575091575,0.5555142611862389,0.6448100930378761,0.5463452143815416
A_TAV_clean,A,27,0.6304436304436304,0.6055361645969212,0.6100668377346463,0.6311636024255682
A_TAV_clean,AV,27,0.6292735042735043,0.603887491746021,0.6104973532535412,0.630920479675659
