epoch,train_loss,train_class_loss,train_reg_loss,selection_J,best_epoch,clean_accuracy,clean_macro_f1,clean_mae,clean_pearson,masked_accuracy,masked_macro_f1,masked_mae,masked_pearson,elapsed_seconds
1,3.3129255932455384,2.151096862405319,1.1618287433054029,0.9307997047165835,1,0.46703296703296704,0.3348164213717271,0.8379318714141846,0.21290783003596345,0.47158628408628417,0.3499318483783304,0.8285001615683237,0.22981621342387312,3.4488375000000815
2,2.885271888277843,2.0019330029635087,0.8833388921614073,0.7031478266785492,2,0.5604395604395604,0.5447698552071135,0.6712542176246643,0.552288853867826,0.533501221001221,0.5211337246304313,0.6970109299377159,0.5149977156667798,6.0270902000002025
3,2.339722241709264,1.6830496520111242,0.6566725941926285,0.6745621978396981,3,0.6277472527472527,0.5663115253677363,0.652869701385498,0.6205690207916422,0.601572039072039,0.5430718221589127,0.6761525494081003,0.5763827859872045,8.517325800000435
4,2.0944234078341273,1.5105891278811863,0.5838342815857046,0.6631583564751533,4,0.6277472527472527,0.5705742632186204,0.6307206153869629,0.6435580881746978,0.6028439153439152,0.5479589486881654,0.6568443300547423,0.5971240439368977,10.98950380000042
5,1.991600789939532,1.4399319926839163,0.5516687917296771,0.676251034357527,4,0.554945054945055,0.5448231942891044,0.6111266016960144,0.6290006620004678,0.5379019129019129,0.5302841329369753,0.6369708632981336,0.5812562592731849,13.529361900000367
6,1.911063512014184,1.398014816128277,0.5130487054366953,0.6415317242322309,6,0.6126373626373627,0.5834333596722463,0.6012704968452454,0.6428694783034465,0.5894892144892144,0.5587429892057565,0.6253657252700241,0.599229230438012,16.08247350000056
7,1.7454955421245502,1.2767884281843858,0.468707113483693,0.6601117205222924,6,0.6098901098901099,0.5693673587768268,0.6435973644256592,0.6471212946231979,0.590913715913716,0.5524489433309979,0.6526286160504376,0.6032332284000185,18.683562100000017
8,1.641065899718317,1.1900408806260099,0.4510250185304959,0.6491421416627796,6,0.6126373626373627,0.581382471950413,0.6089709997177124,0.6195188984686718,0.5827228327228327,0.5541030920397056,0.6372699814814108,0.5697101895195503,21.261095100000603
9,1.467205252528015,1.0605028982980613,0.40670235420361883,0.7055082701984248,6,0.5892857142857143,0.5525611397772878,0.7338569760322571,0.6128618704079293,0.5747100122100123,0.5400161312145072,0.7500236222037563,0.5697754961201069,23.777112800000396
10,1.3202982977669089,0.934520016819107,0.38577828742179676,0.6621295051133854,6,0.6057692307692307,0.5759742771278432,0.6603683829307556,0.6304642497950559,0.5785510785510786,0.5555018873088171,0.6708751651975844,0.5782027466322295,26.29718950000006
11,1.1563743964210702,0.8253146335899566,0.33105975917934144,0.6872415925453754,6,0.6208791208791209,0.5709735272813549,0.6969290375709534,0.6100419189387414,0.5840964590964591,0.5399181101776132,0.7073845488053782,0.5584658357327049,28.78021340000032
12,1.1156289072205285,0.7790372689447979,0.33659164022890214,0.7000113435989778,6,0.5989010989010989,0.5545262450224603,0.7053878307342529,0.5940776128134703,0.5766687016687017,0.5310584686021753,0.7126177483134799,0.5531165350462269,31.327341200000774
13,0.8945364169238769,0.5996514308259484,0.2948849877833618,0.7249475871702492,6,0.5934065934065934,0.5285942348292263,0.7256534099578857,0.5946802982650702,0.5750915750915752,0.5113038611318089,0.7204116969196884,0.5526132602015623,33.834870200000296
14,0.7866260392325265,0.49124607007528087,0.2953799706144431,0.7012319228655853,6,0.5384615384615384,0.5319338728700035,0.6308881640434265,0.5994485830561121,0.5175518925518925,0.5092343631891966,0.6542685992187924,0.5485670652745891,36.35901180000019
15,0.7927405253601355,0.4900054535914942,0.3027350740158856,0.6992509037598322,6,0.5851648351648352,0.5388618889660316,0.6621954441070557,0.6196652164946617,0.5670024420024421,0.5193168808601052,0.6730843318833245,0.5726683558977088,38.91986590000033
16,0.6806140179662185,0.40866408613188104,0.27194992902528203,0.6952879657005553,6,0.5755494505494505,0.5405958655487745,0.6731096506118774,0.6105682304340159,0.5602106227106227,0.5286835997388264,0.6834286440301824,0.5619818148937645,41.48533100000077
17,0.5674308595320262,0.3242095214102159,0.24322133613242844,0.6887889093829287,6,0.5892857142857143,0.5517317798782944,0.6687084436416626,0.6248315162055796,0.5646621896621897,0.5319120985355001,0.6797208984692892,0.5781714848997767,44.0039067000007
18,0.6586796122376803,0.38801480158175916,0.270664811786127,0.6894012524958012,6,0.5576923076923077,0.536463567926153,0.6244021654129028,0.6139034210364924,0.5453551078551079,0.520120146936289,0.6462949635805907,0.5692825238052687,46.549012100000255
19,0.5151054123364421,0.280706024794827,0.2343993886668833,0.6853488771103474,6,0.570054945054945,0.5438726393693644,0.6376023888587952,0.6146680184098291,0.5529609279609279,0.5271447495832814,0.6541682669409999,0.5681707347421973,49.04867530000047
20,0.470424420326202,0.25245814063039024,0.21796627969910365,0.6819733348322239,6,0.614010989010989,0.5716472679393564,0.6780478358268738,0.6176829756930122,0.5804588929588929,0.5375478855175831,0.6861683185453769,0.5729731264213749,51.56027950000043
21,0.43139247781705437,0.23152902248550059,0.19986345533155378,0.6874811249307726,6,0.5892857142857143,0.5594538116185074,0.6571670174598694,0.6033123222601644,0.5610754985754985,0.5287733111944336,0.6766425724382754,0.5596414304445695,54.12371710000025
22,0.4567620919405624,0.24248817989380483,0.21427391444021543,0.6957586948428749,6,0.5934065934065934,0.5586222895120786,0.6916470527648926,0.6157363689158862,0.5656288156288155,0.5303257693112337,0.7020853592289819,0.5674346619301219,56.689330000000155
23,0.39891615952413106,0.2105811355354344,0.1883350241254461,0.6960740401202272,6,0.5673076923076923,0.5467255458346632,0.651178777217865,0.6090625055292662,0.5408272283272283,0.5196674153218206,0.6729643598750785,0.5634278809521908,59.233280400000694
24,0.3999412341863575,0.21671919511831386,0.18322203878713814,0.6816433331151434,6,0.5975274725274725,0.5728243522727338,0.6782424449920654,0.6091542947809361,0.5635429385429385,0.5388003036415827,0.6897177806606999,0.5667847621117437,61.73741539999992
25,0.3604728193725946,0.18618565913487298,0.17428715953463483,0.6874174807403965,6,0.5934065934065934,0.5649861509178796,0.6589987874031067,0.6148887505862933,0.561380748880749,0.5269949625568116,0.675974699082198,0.5684239480072152,64.30066990000068
26,0.34721209098734457,0.17648201975450248,0.17073006877491856,0.6969853364408157,6,0.5865384615384616,0.549746189198744,0.6605893969535828,0.6038666099782154,0.5619912494912495,0.5198906830849039,0.677163118565524,0.557338587869808,66.87462500000038
27,0.4213000695071621,0.23920346703462642,0.1820966051411383,0.6868321995968824,6,0.5714285714285714,0.5437609201612162,0.6370682716369629,0.6065355045101508,0.5521723646723646,0.5262983947229011,0.6576288121717947,0.5628087468889028,69.43301220000012
28,0.36687267295390763,0.19293934877341906,0.17393332502155925,0.6929140042847054,6,0.5865384615384616,0.5363920879479952,0.6410832405090332,0.6045097240589411,0.5689102564102564,0.5236199938730913,0.6652136732030798,0.5600690469617372,71.9564377000006
29,0.35945670443185124,0.19745809336649653,0.16199861190807135,0.689555363382147,6,0.5989010989010989,0.5695709816567563,0.6663415431976318,0.6018623342997559,0.5580229955229955,0.5253105905443767,0.6816103590859307,0.5556019609016087,74.4519592000006
30,0.6876506605625855,0.41612397298897136,0.2715266886840688,0.6943668585216147,6,0.5673076923076923,0.5478941391235219,0.6572038531303406,0.5955138575149429,0.547008547008547,0.5241032606438508,0.6786034040980868,0.5511665857142405,76.99517280000055
