epoch,train_loss,selection_J,clean_accuracy,clean_macro_f1,clean_mae,masked_macro_f1,masked_mae
1,1.351530342565545,0.751975796723001,0.5934065934065934,0.46643561491686153,0.6414924263954163,0.4631419494943338,0.6499338414933946
2,1.1292458738248372,0.6609323580514059,0.6208791208791209,0.5708809772263772,0.6418842673301697,0.5508441603021813,0.6531814678951546
3,1.0426225328480547,0.6284036715967122,0.6291208791208791,0.5933887544662696,0.6100720763206482,0.5737056340860203,0.6247629843376301
4,0.9905072335115414,0.6522191989949079,0.6222527472527473,0.5828889463226877,0.6437992453575134,0.5581311005426253,0.6515592954776905
5,0.9538848897669909,0.6981409758129007,0.5934065934065934,0.55108858599379,0.7059670090675354,0.530207314898051,0.6989520975837001
6,0.8917407732297816,0.6564783487055478,0.603021978021978,0.5734549171194622,0.6234308481216431,0.549505039283513,0.6400731470849779
7,0.8196455062576878,0.6787791305842079,0.6085164835164835,0.5623385653818616,0.6553611159324646,0.5369017677558809,0.6697066856755151
8,0.7703418224303817,0.6594058451088224,0.5810439560439561,0.5702295074756574,0.6246960759162903,0.5471377225488387,0.6410340302520328
