epoch,train_loss,train_class_loss,train_reg_loss,train_consistency_loss,selection_J,best_epoch,clean_accuracy,clean_macro_f1,clean_mae,clean_pearson,masked_accuracy,masked_macro_f1,masked_mae,masked_pearson,elapsed_seconds
1,2.856318790185785,2.0498236105614103,0.8064951941787933,0.0,0.7804695630550145,1,0.5796703296703297,0.4370367758603053,0.6432173848152161,0.5897453181657494,0.5746845746845748,0.43784539633528774,0.6580454221478215,0.5609853239030863,3.850794099998893
2,2.3815829237009534,1.7357639940568028,0.6458189240260398,0.0,0.6612994076910103,2,0.614010989010989,0.5580084421607272,0.6157556176185608,0.6444775456955882,0.5950600325600326,0.5448521086424912,0.6325105263127221,0.6072543623322332,7.048690900002839
3,2.215693364894794,1.626930941661082,0.5887624254809564,0.0,0.6518710715607607,3,0.6304945054945055,0.571987335735708,0.6208066940307617,0.647277860330044,0.6092032967032966,0.5559813475676436,0.6404801000047613,0.6077396452931839,10.187788800001726
4,2.060852037157331,1.5212399363693327,0.5396120896571164,0.0,0.6241306704280413,4,0.614010989010989,0.598996363705255,0.6043297052383423,0.6449499933460074,0.5921601546601546,0.5778013510165315,0.627479863387567,0.605290646059643,13.28513699999894
5,1.9853832473108801,1.4673979508508113,0.517985289665666,0.0,0.6294872691963718,4,0.6016483516483516,0.5962736452873656,0.6139606237411499,0.6452851734011927,0.580611518111518,0.5738181651604369,0.6310236763071131,0.606472070183076,16.43448960000387
6,1.9245275710573604,1.424639993107196,0.4998875858319789,0.0,0.6506918693809125,4,0.6304945054945055,0.5844534919038656,0.6525236964225769,0.6484453105579959,0.6112891737891738,0.5653015880062253,0.6656178346386662,0.6091550086493045,19.56718489999912
7,1.7944500572727073,1.341041682149244,0.4534083701461685,0.0,0.6149876334241855,7,0.625,0.6088181185892384,0.5891297459602356,0.6619381289555475,0.5990791615791616,0.580971245852053,0.6153058078553941,0.6175459246718821,22.84094449999975
8,1.7252787644803436,1.289219091145736,0.43605967568719156,0.0,0.6279966911225322,7,0.6167582417582418,0.5981412425466576,0.6002750396728516,0.6436620256692903,0.5900742775742776,0.5710987314279775,0.6233325214297684,0.5996206811436167,26.030979299997853
9,1.6238064017229121,1.2090173475169994,0.4147890598240236,0.0,0.644444526375098,7,0.6057692307692307,0.589755701170818,0.6148984432220459,0.629805987796987,0.5732855107855107,0.5579181642670112,0.6363221517315617,0.5811007424892359,29.171260399998573
10,1.4667269478139189,1.0906233415512343,0.37610360656992503,0.0,0.6588305052210827,7,0.6098901098901099,0.5734530693456196,0.6307753920555115,0.6354642265336959,0.584528897028897,0.5500257297256855,0.6485938153885029,0.5879051728194457,32.41238010000234
11,1.3804378890675193,1.0179374469397522,0.36250044606044474,0.0,0.6397078951219866,7,0.6181318681318682,0.5911595664783643,0.616405725479126,0.6405683443415147,0.5891585266585267,0.5632454955209761,0.6342590583695306,0.592074769996796,35.54656799999793
12,1.2652584329093854,0.9317407976369619,0.3335176321561277,0.0,0.678396820509193,7,0.5975274725274725,0.551041450777202,0.6478949785232544,0.6322520681006774,0.5821632071632071,0.5377774484539392,0.6619960853347072,0.5852641803545228,38.73739999999816
13,1.170693436918975,0.8505292057815462,0.3201642264147044,0.0,0.6728969293684275,7,0.5796703296703297,0.5567994861339499,0.6323618292808533,0.6222469593176503,0.5606430606430607,0.5385529875776167,0.653258889913559,0.5729635204502819,41.85994059999939
14,1.0381428587945818,0.7266735856066046,0.3114692790672424,0.0,0.6751288538591325,7,0.5755494505494505,0.549030928408336,0.6154188513755798,0.6322532858705401,0.5602614977614978,0.5332589597298917,0.6441836059093475,0.5784658720325944,45.11474769999768
15,0.9662869396897935,0.6654911793384355,0.3007957550141527,0.0,0.6749175330068347,7,0.5796703296703297,0.5542971141567633,0.6226856708526611,0.6220949304808723,0.5604649979649979,0.5330973956715853,0.6456975429146378,0.576551518150482,48.271753900000476
16,0.8410201314096072,0.5696972849091655,0.27132284313286703,0.0,0.6921999235573686,7,0.5782967032967034,0.5413760923632109,0.6382254958152771,0.6178206719865036,0.5592439967439967,0.5218632754130456,0.6630237808933964,0.5665366927722358,51.43360589999793
17,0.7854919918331377,0.5101122733946226,0.27537972012394835,0.0,0.6842888043716084,7,0.5782967032967034,0.5560545605846811,0.6363180875778198,0.616968700616777,0.5518925518925519,0.5279099495614743,0.6648335975629313,0.5684608125664613,54.57998000000225
18,0.7426535327936659,0.46746293240952386,0.2751905978428246,0.0,0.6866832417827029,7,0.5563186813186813,0.5466187764621195,0.6245876550674438,0.6113523104623252,0.5344424094424094,0.5223653976649774,0.6522520515653822,0.5589174083548959,57.73085480000009
19,0.6187264423789964,0.36909701239114656,0.24962943083056646,0.0,0.683690239772304,7,0.5631868131868132,0.5512258808471587,0.6243034601211548,0.6217566231583609,0.5426078551078551,0.5249673701047972,0.6527877968770487,0.5684268167809899,60.83039149999968
20,0.5696631383035601,0.3266545690738751,0.2430085706342127,0.0,0.6969588578897616,7,0.5576923076923077,0.5462577833385466,0.6605125665664673,0.6109179949366689,0.5360958485958486,0.524327230068838,0.6869040495819516,0.5582565340307839,63.97194670000317
21,0.5517595706000068,0.32093456649990953,0.23082499890334476,0.0,0.6848496903439618,7,0.5837912087912088,0.5472064386974641,0.6415194272994995,0.6232284776401209,0.5646876271876272,0.5298999684787566,0.6624652964097483,0.5739123079784542,67.14924550000433
22,0.532500459001412,0.30206787289286224,0.23043258583422788,0.0,0.6853272102312009,7,0.5796703296703297,0.5549695139296403,0.6469053626060486,0.6135616168854493,0.5574379324379324,0.529411867224893,0.6688788356604399,0.5623051545516801,70.34581630000321
23,0.4829224739404771,0.2659741542564049,0.2169483174236604,0.0,0.6814748150596578,7,0.5782967032967034,0.5574694037045954,0.6493330597877502,0.6218675021235252,0.5565221815221816,0.5345285960697929,0.670510098890022,0.5744116392943371,73.5240088999999
24,0.5020870186092226,0.28756776006346424,0.214519258258269,0.0,0.6907787367338051,7,0.5851648351648352,0.5514252354343578,0.6602041125297546,0.6197380346256669,0.564000814000814,0.5291420437171631,0.681898276011149,0.5710656487293403,76.69395620000432
25,0.4710946716510846,0.26308484074820127,0.20800982598703635,0.0,0.6833515159280114,7,0.570054945054945,0.5539916421543704,0.6179230809211731,0.6094266056499708,0.5422771672771672,0.521580827082319,0.6461658268063156,0.5580494805263991,79.89717999999993
26,0.44836506084683014,0.2502844775021515,0.1980805843311399,0.0,0.6933630045967945,7,0.5851648351648352,0.5546200797670244,0.6701598763465881,0.6124599671482944,0.560719373219373,0.5285162548472347,0.6902342372470431,0.5677871340776923,83.03223689999868
27,0.4201345468480387,0.22598425866226735,0.1941502885939622,0.0,0.6910902693492665,7,0.5686813186813187,0.5543914737852879,0.6439807415008545,0.6006934478423848,0.5402167277167277,0.5221945191997729,0.6706758616147218,0.5475459812943876,86.16057150000415
