epoch,train_loss,train_class_loss,train_reg_loss,selection_J,best_epoch,clean_accuracy,clean_macro_f1,clean_mae,clean_pearson,masked_accuracy,masked_macro_f1,masked_mae,masked_pearson,elapsed_seconds
1,1.3331715380495883,0.964111109343474,0.36906043067245314,0.8036956108754172,1,0.5824175824175825,0.44909986165720106,0.7214541435241699,0.6140086362454297,0.5677146927146927,0.43550261636563037,0.7299054397477044,0.5718849770900118,0.939613399999871
2,1.1341450275482943,0.8241846538257177,0.3099603717035678,0.6241409191946186,2,0.6277472527472527,0.6073456463910548,0.6061221957206726,0.6258834532235505,0.5950600325600326,0.5758972592565873,0.6295603690324006,0.5857221184374038,1.0235484000004362
3,1.048410053685066,0.7691785397515557,0.279231517572115,0.6441260138527438,2,0.6181318681318682,0.5806210017163363,0.6480425596237183,0.6222732488677278,0.6001729751729753,0.5698339158327449,0.650612618084307,0.5845582883290765,1.105066000000079
4,1.003948465836768,0.7366021537464743,0.267346304211771,0.628325926533243,2,0.6153846153846154,0.6005119001841835,0.5950831174850464,0.636129611850698,0.5804080179080179,0.5674959989193376,0.6179425639134867,0.596302731853524,1.1840482000006887
5,0.9389111928981955,0.692962657580144,0.2459485386362483,0.769532124240375,2,0.5728021978021978,0.5055843989699741,0.7563872337341309,0.5842718170665467,0.5499338624338623,0.47792905046634315,0.7653709694191262,0.528210427667251,1.2602626000007149
6,0.9721354956479417,0.7078108354239822,0.2643246582049509,0.6549762905808554,2,0.5824175824175825,0.5798955821164498,0.6128028631210327,0.6173445893920465,0.5506969881969882,0.5476379235191329,0.6384468939569261,0.5716301988678689,1.3353490000008605
7,0.8928985788825685,0.6553304419075091,0.23756813924863868,0.6532040375968784,2,0.6236263736263736,0.6038189766442194,0.636717677116394,0.5936229459510204,0.5800264550264551,0.5536813367121248,0.6654399114626425,0.5427572934128405,1.4107483999996475
8,0.829395909846619,0.6126402823405344,0.21675562639563004,0.6643749225817073,2,0.5837912087912088,0.5762770192579337,0.6175799369812012,0.6062806553415464,0.5533424908424908,0.5395111923477042,0.6464503076341417,0.5539737026907617,1.4853357000010874
9,0.7504440903488069,0.5522491445948695,0.19819494463278417,0.6570862791738769,2,0.6126373626373627,0.5800433790307208,0.6303108334541321,0.6075156578227399,0.5840964590964591,0.5510829795825052,0.6515338233223668,0.5614693955833664,1.562812699999995
10,0.6863261378522474,0.5060165677883488,0.18030957132468167,0.6446390586455351,2,0.6043956043956044,0.5906376155898445,0.6134404540061951,0.6135261991400349,0.5743030118030118,0.5578631429057138,0.6383031275537279,0.5651137825500413,1.6386562000006961
11,0.6305179977452106,0.45485081639310926,0.175667177976297,0.6756716885813244,2,0.570054945054945,0.5570133806007918,0.6218764185905457,0.6130670863692116,0.5585571835571836,0.5345391682711119,0.6560255002092432,0.5619701728151577,1.7157127000009496
12,0.555658397723719,0.39782230811898595,0.15783609296243215,0.7027003002432284,2,0.5247252747252747,0.529753890835175,0.6440443992614746,0.5915432314936878,0.5122354497354498,0.5121663238167531,0.6623725968378561,0.5409037707680461,1.7912833000009414
13,0.591508240885868,0.42081741558961205,0.17069082277304382,0.6616329665657338,2,0.603021978021978,0.5730930126699451,0.6334538459777832,0.604407247209324,0.5833842083842083,0.5514095209362838,0.662702159749137,0.5540257308703046,1.8650448999997025
14,0.5004059141268611,0.3477238036308092,0.15268211020856262,0.6939467869156971,2,0.5851648351648352,0.5437921950554035,0.6541358232498169,0.5892837289907209,0.5682234432234433,0.5279878448763964,0.6854976029307754,0.5377932872203478,1.940170300000318
15,0.47285647704780365,0.32509622206041844,0.14776025556236375,0.6760486891174494,2,0.5892857142857143,0.5631430827758382,0.6338759064674377,0.5918800210559424,0.563415750915751,0.5354412995018138,0.6623697689285984,0.5413697907904184,2.0152533000000403
16,0.43504390458470765,0.28650949356833333,0.14853441044797955,0.6819710031917325,2,0.5851648351648352,0.5520769733209095,0.6463977098464966,0.5836655434529147,0.5649165649165648,0.5353218366705675,0.6704605928173771,0.5337417311845065,2.089138900000762
17,0.3866044307668009,0.25187093247062853,0.13473350026086522,0.6852047541529351,2,0.5645604395604396,0.550630055849923,0.6365618705749512,0.5930400998049513,0.5421754171754172,0.5281259729350037,0.6636397010750241,0.5376551964341159,2.1663872999997693
18,0.2921784007979423,0.1726821874714126,0.11949621374459611,0.6860924288277941,2,0.5975274725274725,0.5602103506633548,0.6567210555076599,0.5833662499737466,0.5708180708180708,0.5319879334532024,0.6816368478315847,0.530211501041672,2.2433376999997563
19,0.2562571982835284,0.1446104443131429,0.11164675424306136,0.6907417115977426,2,0.5741758241758241,0.5466238520644525,0.6404168009757996,0.5828854807947956,0.5552248677248677,0.5254134594447875,0.6723588097978521,0.5286733905932948,2.318328200000906
20,0.24208829099194465,0.13326754427798893,0.10882074476078438,0.7176467894104378,2,0.5879120879120879,0.5363570178714866,0.684105396270752,0.590463075119508,0.5680453805453806,0.5116376549533543,0.71382200828305,0.5318912587020782,2.39963440000065
21,0.2452301434986019,0.13108379723331362,0.11414634619506188,0.6825357550619374,2,0.592032967032967,0.5635034165963119,0.6474351286888123,0.5908499476214979,0.563034188034188,0.5321930971696011,0.6744140187899271,0.5359655606833695,2.4819055999996635
22,0.19008521554396324,0.09384646518635996,0.096238749451244,0.6827505651257905,2,0.5782967032967034,0.5579896849735965,0.6388664245605469,0.5777271103224454,0.5577940577940579,0.5314540871343917,0.6703987320264181,0.5219305597896781,2.563068999999814
23,0.184288487492324,0.08965106120165739,0.09463742585943269,0.6908320222177896,2,0.5590659340659341,0.549796999728059,0.6404699087142944,0.5668547573743042,0.5371133496133496,0.5236631851475168,0.6706246744703364,0.5105349349106914,2.6447805000007065
24,0.28605691428695407,0.1783176349325103,0.10773927907353824,0.6859776446995365,2,0.5782967032967034,0.5590749911406442,0.6579346656799316,0.5866362804142343,0.5603123728123729,0.5327047878598379,0.6817883782916598,0.5361207789894338,2.720919600000343
25,0.17348971935716048,0.08226538349014319,0.09122433595699485,0.6914171934640541,2,0.5741758241758241,0.5537822341953773,0.6666913032531738,0.5732718254118091,0.5530118030118031,0.5292720252242488,0.6850366493066152,0.5222618181594333,2.7958680000010645
26,0.2708580902907915,0.14773577788792583,0.12312231300966553,0.6956747121774374,2,0.5796703296703297,0.5529996837433541,0.6610212922096252,0.5657222646579259,0.5582519332519332,0.52456718512088,0.6890596570792021,0.5111724830929427,2.86944240000048
27,0.1789767054508993,0.08168731295930247,0.09728939375443732,0.7018520257831686,2,0.5686813186813187,0.5444525529510446,0.6657871603965759,0.5772168344109609,0.5533679283679284,0.5209877750877294,0.6928949278813822,0.5251447614573429,2.9447507000004407
28,0.14187454561948426,0.058984160688582296,0.08289038574045993,0.6922980254500362,2,0.5521978021978022,0.5384937009242177,0.6443594694137573,0.5809335759604148,0.5432437932437933,0.5254311571475309,0.6691927843623691,0.5279727167090007,3.0193097999999736
29,0.13095215695508275,0.0461647702395181,0.08478738545318064,0.6968448177072495,2,0.5755494505494505,0.5462624655417395,0.6414101719856262,0.5797084191873174,0.5530881155881155,0.517357235044545,0.6719100508424971,0.5260994105616169,3.0985704000013357
30,0.11708226714815412,0.03953294927372278,0.077549317152142,0.704607084635186,2,0.5645604395604396,0.5354359798185239,0.6603012681007385,0.572214800107097,0.5479242979242979,0.5172141740331182,0.6854064177583765,0.5162853922422518,3.176668600000994
