epoch,fallback_clean,effective_rows,group_T,group_A,group_V,group_TA,group_TV,group_AV,text_newly_lost,text_newly_lost_ratio,audio_newly_lost,audio_newly_lost_ratio,vision_newly_lost,vision_newly_lost_ratio
1,0,3395,1372,0,1202,0,821,0,15319,0.1992534013163029,0,0.0,14158,0.19492517175388596
2,0,3395,1332,0,1199,0,864,0,15765,0.20505449910252074,0,0.0,14369,0.19783018738039182
3,0,3395,1314,0,1228,0,853,0,15737,0.20469030462266852,0,0.0,14488,0.19946856112235486
4,0,3395,1306,0,1267,0,822,0,14974,0.19476600504669495,0,0.0,14823,0.20408078972367932
5,0,3395,1330,0,1215,0,850,0,15401,0.20031997086444162,0,0.0,13964,0.19225420951908911
6,0,3395,1264,0,1200,0,931,0,15374,0.19996878333029838,0,0.0,14597,0.2009692563986067
7,0,3395,1255,0,1256,0,884,0,14995,0.1950391509065841,0,0.0,14638,0.20153373810802253
8,0,3395,1341,0,1189,0,865,0,15565,0.20245310996071902,0,0.0,14037,0.1932592623187807
9,0,3395,1307,0,1241,0,847,0,15011,0.19524726203792825,0,0.0,14512,0.1997989894400617
10,0,3395,1364,0,1194,0,837,0,15470,0.2012174501183632,0,0.0,14293,0.19678383104098687
11,0,3395,1302,0,1207,0,886,0,15325,0.19933144299055697,0,0.0,14532,0.20007434637148402
12,0,3395,1266,0,1256,0,873,0,15482,0.2013735334668713,0,0.0,14906,0.2052235209890821
13,0,3395,1322,0,1216,0,857,0,15588,0.20275226971202623,0,0.0,14434,0.19872509740751448
14,0,3395,1312,0,1245,0,838,0,15311,0.19914934575063084,0,0.0,14531,0.2000605785249129
15,0,3395,1331,0,1213,0,851,0,15881,0.20656330480476576,0,0.0,14002,0.1927773876887916
16,0,3395,1262,0,1242,0,891,0,15672,0.20384485315158293,0,0.0,15165,0.2087893932510016
17,0,3395,1300,0,1209,0,886,0,15305,0.1990713040763768,0,0.0,14175,0.19515922514559497
18,0,3395,1294,0,1235,0,866,0,15704,0.20426107541427121,0,0.0,14243,0.19609543871243099
19,0,3395,1310,0,1225,0,860,0,15291,0.19888920683645067,0,0.0,14825,0.20410832541682156
20,0,3395,1312,0,1192,0,891,0,15561,0.202401082177883,0,0.0,14706,0.20246995167485854
21,0,3395,1364,0,1215,0,816,0,15495,0.20154262376108842,0,0.0,14273,0.1965084741095645
22,0,3395,1329,0,1174,0,892,0,15387,0.2001378736245155,0,0.0,14308,0.19699034873955365
23,0,3395,1305,0,1193,0,897,0,15465,0.20115241538981815,0,0.0,14069,0.1936998334090565
24,0,3395,1333,0,1219,0,843,0,15256,0.19843396373663535,0,0.0,13983,0.19251579860394036
25,0,3395,1317,0,1238,0,840,0,15094,0.19632683853177596,0,0.0,14300,0.19688020596698472
26,0,3395,1325,0,1181,0,889,0,15976,0.20779896464712155,0,0.0,14634,0.20147866672173806
27,0,3395,1321,0,1215,0,859,0,15681,0.203961915662964,0,0.0,14372,0.1978714909201052
28,0,3395,1315,0,1190,0,890,0,15235,0.1981608178767462,0,0.0,14190,0.19536574284416175
29,0,3395,1297,0,1208,0,890,0,15886,0.20662833953331078,0,0.0,14695,0.20231850536257623
30,0,3395,1266,0,1224,0,905,0,15517,0.2018287765666866,0,0.0,14976,0.20618727024906033
