candidate,missing_group,scenario_seed_rows,mean_accuracy,mean_macro_f1,mean_mae,mean_pearson
C_current,A,27,0.634004884004884,0.6148673554295727,0.6149715957818208,0.628884392847649
C_current,AV,27,0.6331908831908832,0.6142114089500563,0.6151134239302741,0.6284648066932815
C_current,T,27,0.5867928367928368,0.5649671812478314,0.6548231332390396,0.550221587445079
C_current,TA,27,0.5836385836385837,0.5614448704555851,0.6575143800841438,0.5471378662884806
C_current,TV,27,0.5842999592999593,0.5620077772447808,0.6547355166187993,0.5492720248001258
C_current,V,27,0.6352767602767603,0.6157313322216538,0.6130030177257679,0.6305372252144414
C_current,text_available,81,0.6341575091575091,0.6149366988670942,0.6143626791459543,0.6292954749184573
C_current,text_missing,81,0.5849104599104599,0.5628066096493991,0.6556910099806609,0.5488771595112285
C_gate,A,27,0.6224053724053724,0.6079423728268806,0.5981403037353799,0.6479682754865115
C_gate,AV,27,0.6235246235246236,0.6091305636360266,0.5972305337587992,0.6478354729853414
C_gate,T,27,0.5724460724460725,0.557394113996135,0.6433505724977564,0.5683428917334553
C_gate,TA,27,0.5712250712250713,0.5553874677230078,0.647184998900802,0.5656533679651936
C_gate,TV,27,0.5705128205128205,0.5551147483180532,0.6429545857288219,0.567400059465937
C_gate,V,27,0.6239316239316239,0.6098447418802245,0.5951658421092563,0.6492092033019417
C_gate,text_available,81,0.6232872066205399,0.6089725594477106,0.5968455598678117,0.6483376505912649
C_gate,text_missing,81,0.571394654727988,0.555965443345732,0.6444967190424601,0.5671321063881953
C_gate_uni,A,27,0.6198107448107448,0.6048845375021338,0.596936497423384,0.6506655082660276
C_gate_uni,AV,27,0.6184371184371185,0.603585612296269,0.5956695477167765,0.6505262370043702
C_gate_uni,T,27,0.5717846967846968,0.556505060132525,0.642636032016189,0.5705566895543913
C_gate_uni,TA,27,0.5724969474969475,0.556464771929187,0.6466481553183662,0.5676611826903353
C_gate_uni,TV,27,0.5690883190883191,0.5531603676754242,0.6421488104043184,0.5693134463903744
C_gate_uni,V,27,0.6192511192511193,0.6044868309877596,0.5935933810693247,0.6518071642230845
C_gate_uni,text_available,81,0.6191663274996608,0.6043189935953874,0.595399808736495,0.6509996364978274
C_gate_uni,text_missing,81,0.5711233211233211,0.555376733245712,0.6438109992462911,0.5691771062117004
C_lr1e4,A,27,0.6313085063085063,0.6093356061762486,0.6180085495666221,0.6170902865245919
C_lr1e4,AV,27,0.6315628815628815,0.609706580924441,0.618653761015998,0.615975699577022
C_lr1e4,T,27,0.5847578347578347,0.5607786842905406,0.660395845218941,0.5377668902205225
C_lr1e4,TA,27,0.5843508343508343,0.5610715941656763,0.6621109357586613,0.5353925280204456
C_lr1e4,TV,27,0.5818070818070818,0.5575370776022571,0.6602520015504625,0.5364438304295597
C_lr1e4,V,27,0.6318172568172568,0.6098156935943398,0.6160855227046542,0.6183301205340389
C_lr1e4,text_available,81,0.6315628815628815,0.6096192935650098,0.6175826110957582,0.6171320355452176
C_lr1e4,text_missing,81,0.5836385836385837,0.5597957853528247,0.6609195941760216,0.5365344162235093
C_multi,A,27,0.6270350020350021,0.6105175771023609,0.6198415800377175,0.6294153665003018
C_multi,AV,27,0.6278998778998779,0.6116372823232139,0.6211105011127613,0.6285884885340355
C_multi,T,27,0.5827228327228328,0.56247342508084,0.6571880932207461,0.5520964402976807
C_multi,TA,27,0.5828754578754579,0.5627241561821427,0.6591374697508635,0.5496541577279122
C_multi,TV,27,0.5808404558404558,0.5603339269287809,0.657395307664518,0.5510918182850663
C_multi,V,27,0.6294261294261294,0.6126207409117559,0.6188423147907963,0.6304782171107911
C_multi,text_available,81,0.6281203364536698,0.6115918667791103,0.6199314653137584,0.6294940240483762
C_multi,text_missing,81,0.5821462488129154,0.5618438360639212,0.6579069568787093,0.5509474721035531
C_uni,A,27,0.63507326007326,0.6154767315127018,0.6143710789857088,0.6288222288492588
C_uni,AV,27,0.6334452584452585,0.6142318905553895,0.6147793972933734,0.6285298178669592
C_uni,T,27,0.5853683353683353,0.5631352895777122,0.655473616388109,0.5492152193222111
C_uni,TA,27,0.5836385836385837,0.5615741556049613,0.657943986080311,0.5462414933975651
C_uni,TV,27,0.581959706959707,0.5593751964083469,0.6554980896137379,0.548512293288451
C_uni,V,27,0.6362433862433863,0.6164039853547945,0.6130704327865883,0.6303948242932902
C_uni,text_available,81,0.6349206349206349,0.6153708691409618,0.6140736363552235,0.6292489570031694
C_uni,text_missing,81,0.5836555419888754,0.5613615471970067,0.6563052306940527,0.547989668669409
