candidate,seeds,parameter_count,mean_selection_J,sd_selection_J,mean_clean_accuracy,sd_clean_accuracy,mean_clean_macro_f1,sd_clean_macro_f1,mean_clean_neutral_f1,sd_clean_neutral_f1,mean_clean_mae,sd_clean_mae,mean_clean_pearson,sd_clean_pearson,mean_masked_accuracy,sd_masked_accuracy,mean_masked_macro_f1,sd_masked_macro_f1,mean_masked_mae,sd_masked_mae,mean_masked_pearson,sd_masked_pearson,delta_mean_J,delta_mean_masked_mae,improved_seed_count,qualifies
C_current,3,352100,0.6140835584927714,0.005408082483765323,0.635989010989011,0.009905360646879118,0.6163853761610218,0.008784037579607749,0.479613331193394,0.014657027637604602,0.6129231850306193,0.012180773626286376,0.6308914724207974,0.002625374640218832,0.6095339845339846,0.008346416090497832,0.5888716542582466,0.008751609116664696,0.6350268445633076,0.010700358334661415,0.589086317214843,0.0016078170271734966,0.0,0.0,0,False
C_gate,3,327622,0.6156077456452967,0.007204206016155677,0.6236263736263736,0.00237919066973746,0.6095412696919944,0.00475738070894526,0.48183460837942715,0.016983298942022412,0.5961243510246277,0.01077125284057846,0.649295507202002,0.011458472070974402,0.597340930674264,0.002302669847413327,0.5824690013967213,0.004102611450778271,0.620671139455136,0.01046358785872453,0.6077348784897301,0.008946045922491751,0.0015241871525253359,-0.014355705108171635,1,False
C_lr1e4,3,352100,0.6195890725216664,0.006174968276520505,0.6336996336996337,0.0028594313179479743,0.6118458157104228,0.004318548296619249,0.47198680841641655,0.01940562736471385,0.615220864613851,0.00407491555011489,0.6193774686449776,0.005458768832540224,0.6076007326007327,0.0018766964307511823,0.5847075394589172,0.004956497707048961,0.6392511026358898,0.004301587949765003,0.5768332258843634,0.00465166720103019,0.005505514028894987,0.004224258072582199,1,False
C_uni,3,353264,0.6143202721220578,0.005442198721066473,0.6369047619047619,0.008937372388252374,0.6170462345679638,0.009218233050303008,0.48190380075542966,0.012732134164328451,0.6127095421155294,0.011932420955455096,0.6306844891236627,0.00223691992503887,0.6092880884547551,0.006931916266070063,0.5883662081689843,0.008390437454860082,0.6351894335246381,0.011156670227889019,0.5886193128362892,0.0017899688321762468,0.00023671362928634476,0.00016258896133047873,1,False
C_gate_uni,3,328786,0.6177458028342547,0.005712589450564635,0.6222527472527473,0.0036342737789348645,0.6073645926838966,0.0023622085064053245,0.47965874281663756,0.007292668549559359,0.5948579708735148,0.01405034954629201,0.651886600598299,0.011194424518792802,0.595144824311491,0.0017225043092827979,0.5798478634205497,0.002783161042280531,0.6196054039913931,0.012975088482594668,0.610088371354764,0.008856062931248692,0.003662244341483323,-0.015421440571914524,1,False
C_multi,3,352100,0.6181928137884157,0.0025631527600476693,0.6286630036630036,0.005551444896054074,0.6119026736795021,0.003709304982726877,0.4830533960519548,0.010526679472046083,0.6177248160044352,0.012772163094578274,0.6313210947885297,0.0013140779912351756,0.6051332926332926,0.009006931708430949,0.5867178514215157,0.006801081939798829,0.6389192110962338,0.011557509241442136,0.5902207480759646,0.0016347331576129992,0.004109255295644321,0.003892366532926239,1,False
