candidate,seed,best_epoch,parameter_count,selection_J,clean_neutral_f1,clean_accuracy,clean_macro_f1,clean_mae,clean_pearson,masked_accuracy,masked_macro_f1,masked_mae,masked_pearson
C_current,20260923,5,352100,0.6202292196240317,0.4656084656084656,0.6277472527472527,0.6068884866699075,0.6024968028068542,0.6297359424290221,0.6027930402930404,0.5796414815434447,0.6258975421940839,0.5878351654911859
C_current,20260924,7,352100,0.6119701512414278,0.4948453608247423,0.6332417582417582,0.6180489977843996,0.6099608540534973,0.6338964075446498,0.606939356939357,0.5899239333135214,0.6323811180061765,0.5908997651725477
C_current,20260925,4,352100,0.6100513046128546,0.4783861671469741,0.646978021978022,0.6242186440287584,0.6263118982315063,0.62904206728872,0.6188695563695563,0.5970495479177738,0.6468018734896624,0.5885240209807951
C_gate,20260923,5,327622,0.6087336400129533,0.5011820330969267,0.625,0.614618824523626,0.5907151103019714,0.6463534963413397,0.5982142857142856,0.5871100465552772,0.613978487473947,0.6056292245484701
C_gate,20260924,7,327622,0.6149876334241855,0.46938775510204084,0.625,0.6088181185892384,0.5891297459602356,0.6619381289555475,0.5990791615791616,0.580971245852053,0.6153058078553941,0.6175459246718821
C_gate,20260925,4,327622,0.6231019634987515,0.47493403693931396,0.6208791208791209,0.6051868659631188,0.608528196811676,0.6395948963091188,0.5947293447293446,0.5793257117828337,0.6327291230360667,0.600029486248838
C_lr1e4,20260923,10,352100,0.6178701938060014,0.48517520215633425,0.6304945054945055,0.6126117631674953,0.6127810478210449,0.6256761086941313,0.6055148555148556,0.5858265313280013,0.6373117831018236,0.5822035027474497
C_lr1e4,20260924,8,352100,0.6264413680588728,0.44970414201183434,0.6346153846153846,0.607195541575308,0.6199250817298889,0.6160195645473989,0.6081349206349207,0.579287203842008,0.6441809314268606,0.5742381016710864
C_lr1e4,20260925,11,352100,0.6144556557001251,0.4810810810810811,0.635989010989011,0.6157301423884652,0.6129564642906189,0.6164367326934024,0.6091524216524218,0.5890088832067422,0.6362605933789853,0.5740580732345542
C_uni,20260923,5,353264,0.6205836317377905,0.4693333333333333,0.6277472527472527,0.6066129051876178,0.601932942867279,0.6281488978387111,0.6023860398860398,0.5789439379402026,0.6251349316702949,0.5865636727298652
C_uni,20260924,7,353264,0.6107466967806281,0.4947916666666667,0.6373626373626373,0.6204366875780173,0.6106626987457275,0.6323787743648323,0.6092287342287342,0.5911241258132047,0.6332416192249015,0.5898335363090198
C_uni,20260925,4,353264,0.6116304878477545,0.48158640226628896,0.6456043956043956,0.6240891109382564,0.6255329847335815,0.6315257951674448,0.6162494912494914,0.5950305607535457,0.6471917496787177,0.5894607294699826
C_gate_uni,20260923,5,328786,0.6125633972064816,0.4880382775119617,0.6181318681318682,0.6046373440266158,0.5846434235572815,0.6532627817093717,0.5963827838827839,0.5830274434026876,0.6090921218748446,0.6115088092345551
C_gate_uni,20260924,7,328786,0.6168027897290694,0.47474747474747475,0.6236263736263736,0.6087684053037868,0.589049220085144,0.6623293112030159,0.5958740333740334,0.5786626580808935,0.6156177984343635,0.6181483643743639
C_gate_uni,20260925,4,328786,0.6238712215672132,0.47619047619047616,0.625,0.6086880287212874,0.6108812689781189,0.6400677088825094,0.5931776556776556,0.577853488778068,0.6341062916649712,0.6006079404553729
C_multi,20260923,7,352100,0.6178758594799096,0.4951923076923077,0.6277472527472527,0.6132101594058116,0.605083703994751,0.6310006925796497,0.5975274725274724,0.5817373165726774,0.6282309790452322,0.5883370630558221
C_multi,20260924,7,352100,0.6208997035949053,0.47643979057591623,0.6236263736263736,0.6077166788064385,0.6174666285514832,0.6327657443292478,0.6027930402930404,0.5839497521778061,0.6373425402023174,0.5912681867756812
C_multi,20260925,4,352100,0.6158028782904321,0.47752808988764045,0.6346153846153846,0.6147811828262563,0.6306241154670715,0.6301968474566916,0.6150793650793651,0.5944664855140637,0.6511841140411518,0.5910569943963904
